test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp	fold	gen	model	subset
0.49995	0.01796	0.53076	0.5417	0.53076	0.50808	-9.00068	1904	1272	49	35	2	f	bnb	top5
0.50057	0.01198	0.54094	0.55389	0.54094	0.52761	-9.12933	1839	1337	44	40	2	f	bnb	top5
0.49997	0.57086	0.49631	0.55571	0.49631	0.48456	-9.04925	1679	1497	47	37	2	f	bnb	top5
0.49954	0.7525	0.48834	0.54014	0.48834	0.47747	-9.00703	1823	1353	52	32	2	f	bnb	top5
0.49955	0.20958	0.5137	0.52145	0.5137	0.47741	-9.00923	1747	1429	50	34	2	f	bnb	top5
0.49951	0.98004	0.468	0.52592	0.468	0.49541	-8.93708	2126	1050	57	27	2	f	bnb	top5
0.49864	0.75649	0.4875	0.53507	0.4875	0.46882	-8.97434	1579	1597	47	37	2	f	bnb	top5
0.49948	0.97006	0.46713	0.52503	0.46713	0.47942	-8.97656	1911	1265	54	30	2	f	bnb	top5
0.50129	0.05389	0.52784	0.54179	0.52784	0.53831	-9.02693	1302	1874	28	56	2	f	bnb	top5
0.49918	0.22355	0.51069	0.57094	0.51069	0.5488	-9.21719	1104	2072	21	63	2	f	bnb	top5
0.49984	0.09182	0.52039	0.53286	0.52039	0.51679	-8.9394	1430	1746	35	49	2	f	bnb	top5
0.49932	0.93413	0.47454	0.53321	0.47454	0.48729	-8.9209	2150	1026	59	25	2	f	bnb	top5
0.49998	0.08383	0.52459	0.55981	0.52459	0.50912	-9.12854	1835	1341	47	37	2	f	bnb	top5
0.5006	0.34531	0.50745	0.55086	0.50745	0.48148	-9.04024	1735	1441	49	35	2	f	bnb	top5
0.49906	0.08583	0.52154	0.53241	0.52154	0.54916	-8.94227	1560	1616	33	51	2	f	bnb	top5
0.49934	0.00399	0.54604	0.56078	0.54604	0.54445	-9.15033	1341	1835	28	56	2	f	bnb	top5
0.50019	0.30739	0.50801	0.5122	0.50801	0.53101	-8.97265	1180	1996	26	58	2	f	bnb	top5
0.5007	0.99601	0.45521	0.5517	0.45521	0.48188	-9.01344	1851	1325	52	32	2	f	bnb	top5
0.50113	0.00998	0.53845	0.56669	0.53845	0.51868	-9.23675	1442	1734	35	49	2	f	bnb	top5
0.49967	0.04391	0.52864	0.53684	0.52864	0.50603	-8.97419	1891	1285	49	35	2	f	bnb	top5
0.49882	0.12774	0.51446	0.53297	0.51446	0.50792	-8.96421	1903	1273	49	35	3	f	bnb	top5
0.49949	0.28543	0.50908	0.5465	0.50908	0.50032	-9.01725	2195	981	58	26	3	f	bnb	top5
0.50017	0.02395	0.53763	0.50834	0.53763	0.53174	-8.9442	1714	1462	40	44	3	f	bnb	top5
0.5	0.39521	0.50422	0.54479	0.50422	0.51432	-8.96988	1868	1308	47	37	3	f	bnb	top5
0.49966	0.12176	0.51828	0.52302	0.51828	0.52457	-8.92339	1366	1810	32	52	3	f	bnb	top5
0.49913	0.51896	0.49871	0.54577	0.49871	0.5055	-9.05308	1812	1364	47	37	3	f	bnb	top5
0.49986	0.37325	0.50511	0.548	0.50511	0.48537	-9.01958	2100	1076	58	26	3	f	bnb	top5
0.50112	0.17764	0.51646	0.52669	0.51646	0.50844	-8.97229	1566	1610	40	44	3	f	bnb	top5
0.50102	0.29142	0.51121	0.54127	0.51121	0.51462	-8.99739	1454	1722	36	48	3	f	bnb	top5
0.49934	0.71657	0.49193	0.51773	0.49193	0.50007	-8.96204	2080	1096	55	29	3	f	bnb	top5
0.50038	0.06387	0.52464	0.5374	0.52464	0.52155	-8.96588	1309	1867	31	53	3	f	bnb	top5
0.4993	0.3992	0.50357	0.56862	0.50357	0.50236	-9.09652	1603	1573	42	42	3	f	bnb	top5
0.50008	0.26747	0.51001	0.56758	0.51001	0.51168	-9.14685	1700	1476	43	41	3	f	bnb	top5
0.49917	0.56287	0.49676	0.53561	0.49676	0.48853	-8.94336	1742	1434	48	36	3	f	bnb	top5
0.50053	0.13174	0.52022	0.55371	0.52022	0.51017	-9.00254	1766	1410	45	39	3	f	bnb	top5
0.4999	0.03393	0.53114	0.54283	0.53114	0.53763	-8.97635	1827	1349	42	42	3	f	bnb	top5
0.49843	0.86228	0.48012	0.53808	0.48012	0.48265	-8.97391	1629	1547	46	38	3	f	bnb	top5
0.49958	0.65269	0.49425	0.57235	0.49425	0.48653	-9.15033	1389	1787	39	45	3	f	bnb	top5
0.49897	0.84431	0.48345	0.51325	0.48345	0.48069	-8.95838	1730	1446	49	35	3	f	bnb	top5
0.49979	0.51297	0.50062	0.52789	0.50062	0.49973	-8.95808	1246	1930	33	51	3	f	bnb	top5
0.49992	0.77046	0.48882	0.53679	0.48882	0.49304	-8.91687	1695	1481	46	38	4	f	bnb	top5
0.49926	0.99202	0.45834	0.52614	0.45834	0.45027	-8.93705	2293	883	69	15	4	f	bnb	top5
0.50011	1.0	0.45693	0.54816	0.45693	0.45027	-8.96352	2293	883	69	15	4	f	bnb	top5
0.50009	0.98802	0.46522	0.57719	0.46522	0.48938	-9.2141	1634	1542	45	39	4	f	bnb	top5
0.49954	0.92216	0.47779	0.54369	0.47779	0.46054	-8.96845	2396	780	70	14	4	f	bnb	top5
0.49927	0.93014	0.47818	0.56106	0.47818	0.49086	-9.09785	1719	1457	47	37	4	f	bnb	top5
0.50006	0.96407	0.47443	0.54827	0.47443	0.48151	-8.97861	1584	1592	45	39	4	f	bnb	top5
0.49973	0.93214	0.47863	0.52936	0.47863	0.46054	-8.92693	2396	780	70	14	4	f	bnb	top5
0.49916	0.99601	0.45743	0.54544	0.45743	0.45027	-8.95053	2293	883	69	15	4	f	bnb	top5
0.49999	0.97405	0.46702	0.5651	0.46702	0.48151	-9.06373	1584	1592	45	39	4	f	bnb	top5
0.49905	1.0	0.45707	0.5326	0.45707	0.45027	-8.97926	2293	883	69	15	4	f	bnb	top5
0.50093	0.96008	0.47475	0.56025	0.47475	0.48938	-9.04089	1634	1542	45	39	4	f	bnb	top5
0.49958	0.99202	0.46743	0.53558	0.46743	0.48729	-8.9652	1961	1215	54	30	4	f	bnb	top5
0.5	0.94012	0.47536	0.55826	0.47536	0.48957	-9.02602	1673	1503	46	38	4	f	bnb	top5
0.50107	0.88024	0.48363	0.55321	0.48363	0.48938	-8.96026	1634	1542	45	39	4	f	bnb	top5
0.49933	0.98603	0.4679	0.561	0.4679	0.48729	-9.04895	1961	1215	54	30	4	f	bnb	top5
0.49951	0.99601	0.45887	0.53028	0.45887	0.45815	-8.90345	2343	833	69	15	4	f	bnb	top5
0.49869	0.8483	0.48411	0.53864	0.48411	0.49178	-8.90356	1687	1489	46	38	4	f	bnb	top5
0.49973	0.99401	0.46299	0.56828	0.46299	0.48938	-9.03229	1634	1542	45	39	4	f	bnb	top5
0.50009	0.8004	0.4876	0.52896	0.4876	0.49834	-8.87882	2069	1107	55	29	4	f	bnb	top5
0.50117	0.002	0.56844	0.57727	0.56844	0.5631	-9.15307	1932	1245	40	43	0	combine	bnb	top5
0.49969	0.002	0.5938	0.57992	0.5938	0.6077	-8.98227	2024	1153	35	48	0	combine	bnb	top5
0.50032	0.002	0.57695	0.57139	0.57695	0.53598	-9.03492	1798	1379	41	42	0	combine	bnb	top5
0.49852	0.002	0.57778	0.58057	0.57778	0.55426	-9.13362	1761	1416	37	46	0	combine	bnb	top5
0.50007	0.002	0.5848	0.58967	0.5848	0.55538	-9.28324	1615	1562	33	50	0	combine	bnb	top5
0.50003	0.01198	0.53814	0.58891	0.53814	0.53906	-9.10319	1741	1436	39	44	0	combine	bnb	top5
0.49878	0.002	0.55249	0.56576	0.55249	0.5437	-9.05619	1847	1330	41	42	0	combine	bnb	top5
0.50074	0.002	0.58321	0.57463	0.58321	0.5716	-9.08476	1986	1191	40	43	0	combine	bnb	top5
0.49969	0.002	0.5851	0.59221	0.5851	0.56953	-9.18544	2126	1051	44	39	0	combine	bnb	top5
0.50105	0.002	0.61048	0.60452	0.61048	0.58788	-9.35282	1745	1432	31	52	0	combine	bnb	top5
0.5	0.002	0.57958	0.59408	0.57958	0.55702	-9.2564	1702	1475	35	48	0	combine	bnb	top5
0.49938	0.002	0.57491	0.56983	0.57491	0.57161	-9.02254	1833	1344	36	47	0	combine	bnb	top5
0.49935	0.002	0.60415	0.57142	0.60415	0.57523	-9.03672	1856	1321	36	47	0	combine	bnb	top5
0.5003	0.002	0.59051	0.57716	0.59051	0.58126	-9.04162	1856	1321	35	48	0	combine	bnb	top5
0.49993	0.48703	0.4999	0.58552	0.4999	0.4854	-9.32016	1668	1509	46	37	0	combine	bnb	top5
0.49965	0.00998	0.54233	0.58072	0.54233	0.55585	-9.25962	1618	1559	33	50	0	combine	bnb	top5
0.49951	0.002	0.59266	0.56391	0.59266	0.57982	-8.97002	2000	1177	39	44	0	combine	bnb	top5
0.49993	0.002	0.55787	0.58493	0.55787	0.54428	-9.28592	1889	1288	42	41	0	combine	bnb	top5
0.50106	0.002	0.5928	0.59225	0.5928	0.58725	-9.42426	1741	1436	31	52	0	combine	bnb	top5
0.49963	0.13573	0.51631	0.59085	0.51631	0.53816	-9.36297	1697	1480	38	45	0	combine	bnb	top5
0.49993	0.64671	0.49395	0.57821	0.49395	0.48782	-5.26688	2602	575	70	13	0	f	knn	top5
0.49957	0.48902	0.50031	0.57784	0.50031	0.5026	-5.24392	2428	749	63	20	0	f	knn	top5
0.50005	0.75449	0.48945	0.5665	0.48945	0.50194	-4.68286	2730	447	71	12	0	f	knn	top5
0.49833	0.83633	0.48274	0.57221	0.48274	0.48723	-5.60901	2560	617	69	14	0	f	knn	top5
0.49834	0.56287	0.49546	0.57173	0.49546	0.4869	-4.88035	2711	466	73	10	0	f	knn	top5
0.50018	0.8982	0.48033	0.57886	0.48033	0.47597	-5.64351	2565	612	71	12	0	f	knn	top5
0.49846	0.83832	0.4828	0.54134	0.4828	0.46633	-5.27546	2542	635	72	11	0	f	knn	top5
