,test_perm,test_pval,test_score,train_score,auc_prob,auc_pred,r2,tn,fp,fn,tp,fold,gen,model,subset
0,0.49853,0.03393,0.5277,0.59457,0.5277,0.5099,-9.20597,1424,1752,36,48,3,f,bnb,top29
1,0.50026,0.82435,0.48423,0.59447,0.48423,0.50478,-9.29357,1694,1482,44,40,3,f,bnb,top29
2,0.50079,0.12375,0.52078,0.60023,0.52078,0.50954,-9.2758,1573,1603,40,44,3,f,bnb,top29
3,0.50126,0.63473,0.49623,0.57944,0.49623,0.47585,-9.326,1548,1628,45,39,3,f,bnb,top29
4,0.49835,0.33733,0.50406,0.6052,0.50406,0.51178,-9.57121,1625,1551,41,43,3,f,bnb,top29
5,0.49952,0.82236,0.485,0.61687,0.485,0.48889,-9.67164,1404,1772,39,45,3,f,bnb,top29
6,0.50182,0.0519,0.53043,0.60226,0.53043,0.54034,-9.42818,1693,1483,38,46,3,f,bnb,top29
7,0.50002,0.08184,0.52441,0.58854,0.52441,0.52592,-9.05113,1677,1499,40,44,3,f,bnb,top29
8,0.49978,0.03194,0.53411,0.60201,0.53411,0.52781,-9.14625,1689,1487,40,44,3,f,bnb,top29
9,0.50061,0.68663,0.49418,0.60358,0.49418,0.51337,-9.39155,1257,1919,31,53,3,f,bnb,top29
10,0.50006,0.26148,0.51083,0.61541,0.51083,0.49899,-9.60246,1695,1481,45,39,3,f,bnb,top29
11,0.50103,0.19561,0.51464,0.60148,0.51464,0.49336,-9.49238,1508,1668,41,43,3,f,bnb,top29
12,0.49934,0.62675,0.49338,0.59269,0.49338,0.51155,-9.28944,1737,1439,44,40,3,f,bnb,top29
13,0.50069,0.00798,0.54022,0.58155,0.54022,0.50825,-9.12439,1527,1649,39,45,3,f,bnb,top29
14,0.50108,0.02196,0.53698,0.60479,0.53698,0.49544,-9.23079,1370,1806,37,47,3,f,bnb,top29
15,0.5005,0.5988,0.49706,0.59063,0.49706,0.49565,-9.18851,1636,1540,44,40,3,f,bnb,top29
16,0.49865,0.05389,0.52551,0.60313,0.52551,0.49547,-9.38412,1408,1768,38,46,3,f,bnb,top29
17,0.4998,0.21756,0.51226,0.60579,0.51226,0.45994,-9.46759,1636,1540,50,34,3,f,bnb,top29
18,0.49875,0.0519,0.52416,0.61176,0.52416,0.50775,-9.66328,1486,1690,38,46,3,f,bnb,top29
19,0.49922,0.06587,0.52289,0.61146,0.52289,0.52576,-9.45835,1676,1500,40,44,3,f,bnb,top29
0,0.49921,0.27545,0.50822,0.6696,0.50822,0.5169,-9.59742,1715,1462,42,41,0,combine,bnb,top29
1,0.50072,0.01796,0.53936,0.67442,0.53936,0.51694,-9.8212,1677,1500,41,42,0,combine,bnb,top29
2,0.49966,0.12974,0.51725,0.68227,0.51725,0.50599,-9.91641,1684,1493,43,40,0,combine,bnb,top29
3,0.49946,0.61477,0.49457,0.69568,0.49457,0.52229,-10.39079,1711,1466,41,42,0,combine,bnb,top29
4,0.49995,0.00399,0.54231,0.67021,0.54231,0.55489,-9.63,1765,1412,37,46,0,combine,bnb,top29
5,0.50133,0.33134,0.51004,0.68325,0.51004,0.51914,-9.85065,1691,1486,41,42,0,combine,bnb,top29
6,0.49904,0.52096,0.49865,0.68009,0.49865,0.51411,-9.93367,1659,1518,41,42,0,combine,bnb,top29
7,0.50073,0.002,0.54998,0.66182,0.54998,0.5369,-9.67014,1689,1488,38,45,0,combine,bnb,top29
8,0.49875,0.13573,0.5182,0.6733,0.5182,0.52205,-9.6557,1786,1391,43,40,0,combine,bnb,top29
9,0.50024,0.06587,0.52611,0.68034,0.52611,0.49815,-10.03509,1749,1428,46,37,0,combine,bnb,top29
10,0.50122,0.002,0.56785,0.66998,0.56785,0.56415,-9.65971,1709,1468,34,49,0,combine,bnb,top29
11,0.49882,0.00399,0.54646,0.65246,0.54646,0.53142,-9.7526,1769,1408,41,42,0,combine,bnb,top29
12,0.4997,0.02595,0.53339,0.7015,0.53339,0.53993,-10.20346,1670,1507,37,46,0,combine,bnb,top29
13,0.50066,0.00599,0.54441,0.67247,0.54441,0.5104,-9.6229,1712,1465,43,40,0,combine,bnb,top29
14,0.49906,0.36527,0.50473,0.65531,0.50473,0.48779,-9.2371,1798,1379,49,34,0,combine,bnb,top29
15,0.50038,0.03792,0.52796,0.6762,0.52796,0.51209,-9.68476,1761,1416,44,39,0,combine,bnb,top29
16,0.50068,0.002,0.56575,0.67297,0.56575,0.5706,-9.54677,1750,1427,34,49,0,combine,bnb,top29
17,0.50012,0.29341,0.50871,0.6685,0.50871,0.50202,-9.72871,1697,1480,44,39,0,combine,bnb,top29
18,0.49952,0.00998,0.53425,0.65546,0.53425,0.52335,-9.41711,1756,1421,42,41,0,combine,bnb,top29
19,0.50043,0.002,0.57318,0.68036,0.57318,0.5706,-9.67233,1750,1427,34,49,0,combine,bnb,top29
0,0.50042,0.01796,0.5343,0.6627,0.5343,0.52251,-9.46183,1731,1445,42,42,2,combine,bnb,top29
1,0.50068,0.002,0.54924,0.68141,0.54924,0.54871,-9.12443,1784,1392,39,45,2,combine,bnb,top29
2,0.50086,0.002,0.55958,0.66502,0.55958,0.54478,-9.21122,1759,1417,39,45,2,combine,bnb,top29
3,0.50196,0.00599,0.55135,0.66911,0.55135,0.55243,-9.53394,1732,1444,37,47,2,combine,bnb,top29
4,0.50008,0.18363,0.51677,0.65643,0.51677,0.50972,-9.06716,1801,1375,46,38,2,combine,bnb,top29
5,0.49957,0.03992,0.52828,0.64416,0.52828,0.53526,-8.89265,1812,1364,42,42,2,combine,bnb,top29
6,0.50091,0.002,0.59018,0.6661,0.59018,0.56084,-9.03585,1861,1315,39,45,2,combine,bnb,top29
