number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
116	0.50020	0.00200	0.55085	1.00000	0.55085	0.52178	-16.07152	1746	1431	42	41
116	0.49890	0.09980	0.52009	1.00000	0.52009	0.49030	-18.67644	1546	1631	42	41
116	0.49960	0.03992	0.52825	1.00000	0.52825	0.51934	-17.14672	1654	1523	40	43
116	0.50012	0.00399	0.55501	1.00000	0.55501	0.54540	-16.14196	1743	1434	38	45
116	0.49845	0.28743	0.50848	1.00000	0.50848	0.51694	-17.13433	1677	1500	41	42
116	0.50068	0.41916	0.50269	1.00000	0.50269	0.50651	-17.33441	1649	1528	42	41
116	0.50036	0.00798	0.54073	1.00000	0.54073	0.52793	-17.36864	1632	1545	38	45
116	0.50069	0.17964	0.51468	0.99999	0.51468	0.51186	-16.89835	1683	1494	42	41
116	0.49885	0.01198	0.53390	1.00000	0.53390	0.54261	-16.92711	1687	1490	37	46
116	0.49964	0.14371	0.51734	0.99999	0.51734	0.50667	-17.35339	1650	1527	42	41
116	0.49901	0.03194	0.53192	1.00000	0.53192	0.52686	-16.22079	1740	1437	41	42
116	0.49844	0.00200	0.57667	1.00000	0.57667	0.54290	-18.09286	1574	1603	34	49
116	0.50013	0.00200	0.56367	1.00000	0.56367	0.56178	-16.68402	1694	1483	34	49
116	0.49987	0.22355	0.51217	1.00000	0.51217	0.49103	-16.10691	1742	1435	47	36
116	0.50058	0.09980	0.52108	1.00000	0.52108	0.50320	-17.74547	1628	1549	42	41
116	0.49972	0.00599	0.54833	1.00000	0.54833	0.54128	-17.89731	1602	1575	35	48
116	0.50006	0.00200	0.55042	1.00000	0.55042	0.54533	-17.22910	1666	1511	36	47
116	0.50007	0.00200	0.55516	1.00000	0.55516	0.55765	-16.59383	1706	1471	35	48
116	0.50015	0.01397	0.53457	1.00000	0.53457	0.53796	-16.28127	1734	1443	39	44
116	0.50098	0.00200	0.55467	1.00000	0.55467	0.54286	-17.74227	1612	1565	35	48
