number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
456	0.50113	0.00200	0.55060	0.99986	0.55060	0.53190	-15.65109	1715	1461	40	44
456	0.50013	0.89022	0.47946	0.99996	0.47946	0.48110	-16.28103	1657	1519	47	37
456	0.50036	0.41118	0.50361	1.00000	0.50361	0.47269	-15.62833	1717	1459	50	34
456	0.49921	0.47505	0.50025	1.00000	0.50025	0.51241	-16.63621	1629	1547	41	43
456	0.50017	0.42315	0.50368	1.00000	0.50368	0.49505	-16.19513	1670	1506	45	39
456	0.49993	0.36527	0.50718	0.99993	0.50718	0.47782	-16.26229	1674	1502	48	36
456	0.49896	0.01198	0.53646	0.99996	0.53646	0.50749	-15.30845	1749	1427	45	39
456	0.50029	0.04990	0.52854	0.99992	0.52854	0.52406	-15.85866	1703	1473	41	43
456	0.49939	0.15569	0.51447	0.99992	0.51447	0.48551	-16.18728	1685	1491	47	37
456	0.50082	0.87425	0.48157	0.99999	0.48157	0.46743	-16.90680	1608	1568	48	36
456	0.50122	0.01397	0.54095	0.99992	0.54095	0.51496	-16.00243	1683	1493	42	42
456	0.50137	0.03593	0.53113	0.99995	0.53113	0.50897	-16.54670	1645	1531	42	42
456	0.49939	0.48303	0.50061	1.00000	0.50061	0.50636	-15.81778	1704	1472	44	40
456	0.49986	0.61078	0.49489	1.00000	0.49489	0.49130	-16.08504	1684	1492	46	38
456	0.50021	0.86228	0.48331	1.00000	0.48331	0.46904	-16.62202	1656	1520	49	35
456	0.49953	0.06188	0.52658	0.99996	0.52658	0.49883	-15.82747	1694	1482	45	39
456	0.49864	0.00200	0.56942	0.99998	0.56942	0.54592	-16.50535	1615	1561	35	49
456	0.50146	0.19960	0.51462	0.99993	0.51462	0.50394	-16.74674	1613	1563	42	42
456	0.49952	0.03194	0.53059	1.00000	0.53059	0.51042	-15.82033	1692	1484	43	41
456	0.50057	0.59681	0.49593	0.99996	0.49593	0.46416	-16.62633	1625	1551	49	35
