number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
241	0.50017	0.00200	0.54808	0.99994	0.54808	0.55716	-16.88740	1573	1603	32	52
241	0.50061	0.00200	0.56068	0.99995	0.56068	0.54712	-16.92910	1547	1629	33	51
241	0.49995	0.00200	0.55497	0.99961	0.55497	0.54346	-15.52762	1675	1501	37	47
241	0.50059	0.00599	0.54218	0.99976	0.54218	0.53886	-16.20953	1608	1568	36	48
241	0.49955	0.01198	0.53367	1.00000	0.53367	0.52315	-16.95250	1546	1630	37	47
241	0.50045	0.28743	0.50886	1.00000	0.50886	0.51335	-16.09600	1635	1541	41	43
241	0.50068	0.00200	0.55953	0.99996	0.55953	0.53454	-15.07136	1694	1482	39	45
241	0.50063	0.00200	0.56071	0.99998	0.56071	0.54560	-16.19196	1613	1563	35	49
241	0.49894	0.23752	0.51134	0.99995	0.51134	0.53152	-16.09651	1637	1539	38	46
241	0.50021	0.00399	0.56043	1.00000	0.56043	0.53537	-16.94565	1548	1628	35	49
241	0.50081	0.07984	0.52579	1.00000	0.52579	0.50126	-16.49583	1596	1580	42	42
241	0.49994	0.25549	0.51002	0.99983	0.51002	0.52107	-17.85636	1495	1681	36	48
241	0.50126	0.22355	0.51360	0.99991	0.51360	0.50003	-16.11232	1626	1550	43	41
241	0.50004	0.01397	0.53914	0.99996	0.53914	0.53836	-16.62128	1567	1609	35	49
241	0.50079	0.18164	0.51519	1.00000	0.51519	0.49666	-15.14765	1718	1458	46	38
241	0.49908	0.02994	0.52937	0.99996	0.52937	0.53637	-16.26248	1630	1546	37	47
241	0.49974	0.02196	0.53496	0.99989	0.53496	0.49956	-16.20719	1623	1553	43	41
241	0.50110	0.03194	0.53319	0.99996	0.53319	0.50907	-16.78972	1570	1606	40	44
241	0.50056	0.01996	0.53599	0.99993	0.53599	0.53266	-15.52901	1682	1494	39	45
241	0.49961	0.00599	0.54827	0.99991	0.54827	0.53716	-15.92219	1635	1541	37	47
