number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
306	0.50068	0.00399	0.54635	1.00000	0.54635	0.53577	-17.63925	1567	1610	35	48
306	0.49978	0.00200	0.57478	1.00000	0.57478	0.52982	-16.60867	1644	1533	38	45
306	0.50013	0.00200	0.54987	0.99999	0.54987	0.54600	-16.90790	1632	1545	35	48
306	0.50094	0.00399	0.54707	1.00000	0.54707	0.54306	-17.62806	1575	1602	34	49
306	0.49964	0.00200	0.56444	1.00000	0.56444	0.57160	-17.59249	1565	1612	29	54
306	0.49992	0.00200	0.57465	1.00000	0.57465	0.55148	-17.80531	1552	1625	32	51
306	0.50081	0.11178	0.52081	1.00000	0.52081	0.52013	-16.40385	1659	1518	40	43
306	0.49980	0.00200	0.55111	0.99999	0.55111	0.54884	-16.67892	1650	1527	35	48
306	0.49998	0.00399	0.54947	0.99996	0.54947	0.53065	-16.95091	1611	1566	37	46
306	0.49859	0.00200	0.55728	0.99992	0.55728	0.50438	-15.98647	1712	1465	44	39
306	0.50011	0.00200	0.56546	0.99996	0.56546	0.55050	-17.41745	1584	1593	33	50
306	0.49985	0.01198	0.53758	1.00000	0.53758	0.51316	-16.65008	1653	1524	41	42
306	0.49908	0.85429	0.48265	1.00000	0.48265	0.48877	-18.53057	1498	1679	41	42
306	0.49929	0.28343	0.50760	0.99999	0.50760	0.51341	-17.57428	1578	1599	39	44
306	0.49926	0.15968	0.51411	0.99992	0.51411	0.49805	-17.65941	1557	1620	41	42
306	0.49929	0.00200	0.55423	0.99992	0.55423	0.54919	-17.09623	1614	1563	34	49
306	0.49994	0.05788	0.52712	0.99995	0.52712	0.52247	-17.78441	1559	1618	37	46
306	0.49980	0.03992	0.52934	1.00000	0.52934	0.51525	-17.05975	1628	1549	40	43
306	0.50108	0.07186	0.52497	0.99994	0.52497	0.53919	-16.90654	1627	1550	36	47
306	0.49906	0.00599	0.54362	1.00000	0.54362	0.52442	-16.60570	1648	1529	39	44
