number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
409	0.49953	0.00399	0.54953	1.00000	0.54953	0.53193	-15.15952	1753	1423	41	43
409	0.49995	0.00200	0.61641	0.99995	0.61641	0.56276	-15.54289	1722	1454	35	49
409	0.49980	0.00200	0.59710	1.00000	0.59710	0.56066	-16.70962	1633	1543	33	51
409	0.49979	0.00200	0.59087	1.00000	0.59087	0.56443	-16.24745	1657	1519	33	51
409	0.50046	0.00200	0.57330	0.99996	0.57330	0.54459	-15.67435	1720	1456	38	46
409	0.49948	0.00200	0.56327	0.99992	0.56327	0.55442	-16.35807	1669	1507	35	49
409	0.50009	0.00200	0.59597	1.00000	0.59597	0.56554	-16.46437	1664	1512	33	51
409	0.50085	0.00200	0.58268	1.00000	0.58268	0.56462	-15.89861	1696	1480	34	50
409	0.49944	0.00200	0.60898	0.99995	0.60898	0.58799	-15.42554	1731	1445	31	53
409	0.49986	0.01597	0.53845	0.99990	0.53845	0.52560	-16.13718	1675	1501	40	44
409	0.50068	0.00200	0.56902	0.99996	0.56902	0.53937	-16.50917	1649	1527	37	47
409	0.50014	0.00200	0.61825	0.99998	0.61825	0.56097	-16.41294	1635	1541	33	51
409	0.50009	0.00200	0.59112	0.99999	0.59112	0.56003	-16.62080	1629	1547	33	51
409	0.49965	0.03792	0.52930	1.00000	0.52930	0.51052	-16.78679	1617	1559	41	43
409	0.50193	0.00599	0.55571	0.99995	0.55571	0.52570	-17.23973	1600	1576	38	46
409	0.50003	0.00200	0.63766	0.99996	0.63766	0.58141	-15.32422	1727	1449	32	52
409	0.49855	0.00200	0.60042	0.99996	0.60042	0.54768	-16.06244	1664	1512	36	48
409	0.49973	0.00200	0.56226	1.00000	0.56226	0.54519	-16.00030	1686	1490	37	47
409	0.50004	0.00200	0.59482	0.99989	0.59482	0.55379	-16.05378	1665	1511	35	49
409	0.50023	0.00200	0.60039	0.99997	0.60039	0.55051	-16.18174	1682	1494	36	48
