number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
131	0.47580	0.48588	0.45368	0.45368	0.95937	1.09254	0.49985	0.44554	0.50307
131	0.48429	0.48783	0.87553	0.87553	0.85445	1.02922	0.49747	0.19802	0.51341
131	0.49592	0.49139	0.52930	0.52930	0.97241	1.04586	0.49769	0.48515	0.50031
131	0.49680	0.49236	0.23892	0.23892	0.98225	1.10953	0.49893	0.62376	0.49341
131	0.45865	0.48028	0.46764	0.46764	0.94218	1.12417	0.49858	0.32673	0.50864
131	0.47617	0.47948	0.21785	0.21785	0.95307	1.32665	0.49969	1.00000	0.45551
131	0.47157	0.46777	0.14236	0.14236	0.93006	1.82215	0.50067	0.09901	0.52370
131	0.49097	0.48061	0.79380	0.79380	0.87100	1.05547	0.49669	0.01980	0.53362
131	0.53636	0.53749	0.75954	0.75954	1.21206	0.88400	0.50128	0.47525	0.50307
131	0.50384	0.49135	0.92415	0.92415	0.77479	1.01874	0.49925	0.72277	0.48690
