number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
419	0.54837	0.54804	0.77455	0.77455	1.28896	0.85606	0.49990	0.38614	0.50815
419	0.50575	0.50337	0.62003	0.62003	1.01276	0.98568	0.49628	0.09901	0.53183
419	0.55459	0.56061	0.74220	0.74220	1.32003	0.80487	0.49890	0.07921	0.53152
419	0.55289	0.53594	0.80570	0.80570	1.25197	0.89943	0.50248	0.49505	0.50450
419	0.49990	0.48926	0.42028	0.42028	0.97032	1.07781	0.49946	0.14851	0.52535
419	0.58666	0.54875	0.65837	0.65837	1.20069	0.81037	0.49729	0.43564	0.50254
419	0.54613	0.55560	0.78508	0.78508	1.35034	0.83711	0.50157	0.48515	0.50345
419	0.47555	0.49266	0.65259	0.65259	0.97010	1.02883	0.50001	0.06931	0.53742
419	0.52293	0.51876	0.73194	0.73194	1.09593	0.93840	0.49902	0.68317	0.48770
419	0.53461	0.53705	0.76724	0.76724	1.21630	0.88729	0.49969	0.03960	0.55017
