number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
256	0.49636	0.48858	0.69995	0.69995	0.94718	1.04025	0.50175	0.77228	0.48296
256	0.49782	0.51417	0.38337	0.38337	1.03754	0.88445	0.49948	1.00000	0.44759
256	0.46704	0.49162	0.75806	0.75806	0.95267	1.02595	0.49725	1.00000	0.45329
256	0.51112	0.52387	0.56353	0.56353	1.08081	0.88332	0.49914	0.78218	0.48414
256	0.51129	0.51864	0.56492	0.56492	1.06325	0.90926	0.50136	0.70297	0.48906
256	0.52603	0.52237	0.89463	0.89463	1.32907	0.94821	0.49822	0.89109	0.47292
256	0.57303	0.54774	0.81879	0.81879	1.35895	0.86993	0.50039	0.87129	0.47491
256	0.55870	0.52474	0.15491	0.15491	1.05410	0.42217	0.49768	0.93069	0.46776
256	0.52849	0.53161	0.86457	0.86457	1.33303	0.92198	0.50122	0.16832	0.51652
256	0.49276	0.49406	0.19163	0.19163	0.98666	1.10948	0.49810	0.80198	0.47821
