number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
201	0.54296	0.52737	0.36857	0.36857	1.07140	0.76537	0.49969	0.19802	0.51909
201	0.53523	0.51667	0.34071	0.34071	1.04229	0.84271	0.49906	0.08911	0.53056
201	0.50081	0.51588	0.80218	0.80218	1.10963	0.95529	0.49909	0.05941	0.53306
201	0.49520	0.49994	0.35881	0.35881	0.99985	1.00053	0.49787	0.11881	0.52829
201	0.49751	0.49994	0.35881	0.35881	0.99985	1.00053	0.49856	0.07921	0.53054
201	0.53022	0.51541	0.33736	0.33736	1.03897	0.85285	0.49806	0.12871	0.53128
201	0.53057	0.51071	0.34060	0.34060	1.02719	0.89889	0.49603	0.06931	0.52914
201	0.54336	0.52224	0.30782	0.30782	1.05474	0.76255	0.49956	0.06931	0.52642
201	0.53523	0.51667	0.34071	0.34071	1.04229	0.84271	0.50048	0.07921	0.52903
201	0.50285	0.50353	0.35279	0.35279	1.00907	0.96810	0.49967	0.06931	0.53742
