number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
308	0.54790	0.55320	0.81318	0.81318	1.38751	0.85334	0.50006	0.42574	0.50236
308	0.48828	0.49046	0.79142	0.79142	0.93743	1.02743	0.49966	0.66337	0.49303
308	0.48042	0.47763	0.70461	0.70461	0.89490	1.07790	0.49927	0.40594	0.50388
308	0.50260	0.51009	0.91365	0.91365	1.20412	0.97760	0.49889	0.25743	0.50929
308	0.52164	0.51643	0.73719	0.73719	1.08559	0.94669	0.49848	0.05941	0.53094
308	0.43959	0.44645	0.47105	0.47105	0.84216	1.33315	0.50097	0.68317	0.49245
308	0.48612	0.49143	0.83803	0.83803	0.92595	1.02230	0.50174	0.14851	0.52020
308	0.50733	0.50922	0.10133	0.10133	1.01950	0.65947	0.49737	0.39604	0.50307
308	0.48279	0.47844	0.55067	0.55067	0.92845	1.10852	0.50149	0.97030	0.46690
308	0.52140	0.52003	0.37993	0.37993	1.05288	0.83476	0.49684	0.55446	0.49566
