number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
180	0.54577	0.50472	0.86828	0.86828	1.05209	0.98848	0.50123	0.16832	0.51876
180	0.49367	0.49406	0.74723	0.74723	0.96782	1.01882	0.49960	0.09901	0.51858
180	0.48482	0.49268	0.23987	0.23987	0.98296	1.10455	0.50215	0.16832	0.52112
180	0.50708	0.51088	0.76313	0.76313	1.06264	0.96667	0.50226	0.14851	0.52214
180	0.48009	0.47735	0.84210	0.84210	0.79767	1.05836	0.49802	0.08911	0.51985
180	0.49836	0.50835	0.33432	0.33432	1.02107	0.91938	0.49840	0.33663	0.50506
180	0.55582	0.55093	0.83274	0.83274	1.41847	0.86539	0.49756	0.29703	0.50733
180	0.49783	0.49097	0.94146	0.94146	0.56856	1.01886	0.50039	0.83168	0.48200
180	0.48161	0.48945	0.81327	0.81327	0.92218	1.02894	0.49947	0.99010	0.44867
180	0.50688	0.50717	0.09412	0.09412	1.01510	0.71339	0.49972	0.10891	0.52241
