number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
242	0.50222	0.19361	0.51415	0.72766	0.51415	0.50931	-8.83355	1874	1302	48	36
242	0.50035	0.75848	0.49064	0.76384	0.49064	0.50170	-6.59063	2355	821	62	22
242	0.50044	0.08982	0.51829	0.75944	0.51829	0.51367	-10.80291	1448	1728	36	48
242	0.49991	0.00399	0.55316	0.76937	0.55316	0.54208	-10.38894	1515	1661	33	51
242	0.49996	0.55090	0.49806	0.73751	0.49806	0.51325	-8.73854	1899	1277	48	36
242	0.49982	0.00399	0.53951	0.77961	0.53951	0.53172	-7.01158	2281	895	55	29
242	0.50076	0.00998	0.53626	0.78045	0.53626	0.54200	-8.00686	2006	1170	46	38
242	0.49966	0.13174	0.51624	0.77161	0.51624	0.50096	-8.17070	2010	1166	53	31
242	0.50028	0.39122	0.50460	0.77400	0.50460	0.50540	-11.83809	1282	1894	33	51
242	0.50026	0.81437	0.48742	0.79091	0.48742	0.49765	-7.33279	2178	998	58	26
242	0.49909	0.12774	0.51741	0.75861	0.51741	0.50769	-11.00216	1410	1766	36	48
242	0.50021	0.06188	0.52293	0.75009	0.52293	0.50418	-8.57096	1917	1259	50	34
242	0.49996	0.91417	0.48035	0.74383	0.48035	0.49210	-10.55577	1500	1676	41	43
242	0.49949	0.98603	0.47087	0.77596	0.47087	0.47977	-9.40713	1762	1414	50	34
242	0.50123	0.00798	0.53896	0.74254	0.53896	0.53397	-11.99869	1161	2015	25	59
242	0.49998	0.45309	0.50169	0.77711	0.50169	0.50199	-11.51763	1336	1840	35	49
242	0.50065	0.67265	0.49518	0.78061	0.49518	0.49864	-13.08823	1050	2126	28	56
242	0.50084	0.02395	0.52842	0.74499	0.52842	0.52993	-8.06646	2005	1171	48	36
242	0.49950	0.52096	0.49933	0.78393	0.49933	0.51329	-14.86282	765	2411	18	66
242	0.50079	0.98802	0.46467	0.76294	0.46467	0.47915	-10.24704	1569	1607	45	39
