	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
1	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
2	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
3	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
4	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
5	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
6	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
7	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
8	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
9	288	0.5008	0.59406	0.47413	0.49592	0.47413	0.48562	-8.09442	2819	356	76	7
