number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
226	0.50070	0.00200	0.56962	0.74597	0.56962	0.54495	-8.93016	2276	901	52	31
226	0.49921	0.00200	0.55066	0.69706	0.55066	0.56340	-8.53802	2355	822	51	32
226	0.49940	0.03593	0.52695	0.71873	0.52695	0.53509	-10.40038	2022	1155	47	36
226	0.49999	0.01198	0.53522	0.68676	0.53522	0.52673	-9.72969	2122	1055	51	32
226	0.49979	0.00599	0.53875	0.73645	0.53875	0.48986	-8.47311	2347	830	63	20
226	0.50099	0.00200	0.57255	0.72578	0.57255	0.54075	-7.81942	2479	698	58	25
226	0.50051	0.00200	0.55319	0.73515	0.55319	0.55970	-10.46973	1987	1190	42	41
226	0.49934	0.00798	0.53610	0.71708	0.53610	0.52356	-10.32988	1987	1190	48	35
226	0.50088	0.04790	0.52796	0.69791	0.52796	0.52290	-8.72192	2289	888	56	27
226	0.50050	0.00599	0.54497	0.71295	0.54497	0.54760	-9.52725	2178	999	49	34
226	0.50041	0.00200	0.58596	0.71285	0.58596	0.54853	-6.84739	2605	572	60	23
226	0.49918	0.00399	0.55110	0.71165	0.55110	0.56123	-10.24044	2035	1142	43	40
226	0.49954	0.00200	0.56973	0.69475	0.56973	0.57736	-9.21605	2214	963	45	38
226	0.49970	0.00798	0.53717	0.71684	0.53717	0.52978	-8.46655	2371	806	57	26
226	0.50021	0.07984	0.52273	0.70605	0.52273	0.53342	-11.47268	1820	1357	42	41
226	0.49985	0.03792	0.52676	0.72754	0.52676	0.54783	-7.50224	2524	653	58	25
226	0.49938	0.00200	0.57062	0.71864	0.57062	0.56096	-8.23899	2416	761	53	30
226	0.49949	0.00798	0.53474	0.71774	0.53474	0.51185	-9.82705	2104	1073	53	30
226	0.50088	0.81437	0.48712	0.73228	0.48712	0.52235	-9.44013	2209	968	54	29
226	0.49934	0.93014	0.47995	0.68953	0.47995	0.48665	-11.35928	1829	1348	50	33
