	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
1	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
2	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
3	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
4	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
5	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
6	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
7	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
8	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
9	455	0.5034	0.40594	0.5267	0.50626	0.5267	0.53717	-8.20042	2240	935	53	30
