	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
1	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
2	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
3	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
4	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
5	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
6	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
7	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
8	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
9	370	0.49813	0.17822	0.49737	0.52221	0.49737	0.48226	-8.27031	1929	1246	54	29
