number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
281	0.50041	0.97405	0.46751	0.66387	0.46751	0.48691	-9.17464	1601	1576	44	39
281	0.50027	0.01198	0.53907	0.66856	0.53907	0.53384	-9.13444	1593	1584	36	47
281	0.49942	0.99800	0.45140	0.66507	0.45140	0.44973	-9.06804	1671	1506	52	31
281	0.50015	0.95808	0.47142	0.66459	0.47142	0.47679	-9.18767	1575	1602	45	38
281	0.49830	0.33134	0.50552	0.66537	0.50552	0.51620	-9.09505	1634	1543	40	43
281	0.49996	0.29341	0.50891	0.66603	0.50891	0.51120	-9.16370	1564	1613	39	44
281	0.50078	0.11377	0.52006	0.68118	0.52006	0.49136	-9.18673	1591	1586	43	40
281	0.49978	0.11976	0.51976	0.67324	0.51976	0.53242	-9.18995	1584	1593	36	47
281	0.49958	0.00200	0.54916	0.66299	0.54916	0.54592	-8.99140	1708	1469	37	46
281	0.49991	0.99401	0.45887	0.66373	0.45887	0.47576	-9.09702	1645	1532	47	36
281	0.50024	0.90220	0.48016	0.67470	0.48016	0.44757	-9.15767	1619	1558	51	32
281	0.50039	0.85629	0.48291	0.66633	0.48291	0.51253	-9.06057	1649	1528	41	42
281	0.50092	0.70060	0.49223	0.65900	0.49223	0.47520	-8.98681	1718	1459	49	34
281	0.49999	0.27745	0.51028	0.66252	0.51028	0.50419	-9.15492	1596	1581	41	42
281	0.50086	0.95210	0.47128	0.66580	0.47128	0.47115	-9.11027	1654	1523	48	35
281	0.50035	0.54890	0.49787	0.66034	0.49787	0.49734	-9.11794	1629	1548	43	40
281	0.49963	0.28543	0.50952	0.67153	0.50952	0.51447	-9.12543	1623	1554	40	43
281	0.49933	0.05988	0.52543	0.66751	0.52543	0.52289	-9.15911	1600	1577	38	45
281	0.50001	0.05988	0.52629	0.67086	0.52629	0.54281	-9.11841	1650	1527	36	47
281	0.50080	0.24750	0.51222	0.67340	0.51222	0.49545	-9.08231	1617	1560	43	40
