	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
1	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
2	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
3	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
4	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
5	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
6	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
7	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
8	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
9	181	0.49804	0.47525	0.57897	0.49909	0.57897	0.57023	-8.33501	1655	1520	31	52
