number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
402	0.50018	0.18962	0.51538	0.66151	0.51538	0.54173	-8.96747	1664	1512	37	47
402	0.50009	0.01796	0.53657	0.66858	0.53657	0.52226	-8.76490	1805	1371	44	40
402	0.49987	0.41517	0.50469	0.66965	0.50469	0.48359	-8.98700	1635	1541	46	38
402	0.49940	0.00200	0.57659	0.66076	0.57659	0.56900	-8.94644	1686	1490	33	51
402	0.49877	0.33733	0.50593	0.66244	0.50593	0.50415	-8.91647	1690	1486	44	40
402	0.50093	0.37725	0.50623	0.67078	0.50623	0.51196	-8.96482	1664	1512	42	42
402	0.49953	0.27545	0.50880	0.66325	0.50880	0.49612	-8.93788	1639	1537	44	40
402	0.49908	0.98004	0.46444	0.66798	0.46444	0.48409	-8.95767	1676	1500	47	37
402	0.49984	0.17365	0.51708	0.66840	0.51708	0.50813	-9.06575	1564	1612	40	44
402	0.49938	0.31936	0.50853	0.66217	0.50853	0.50948	-8.91485	1686	1490	43	41
402	0.50068	0.02794	0.53260	0.66106	0.53260	0.52529	-8.91508	1673	1503	40	44
402	0.50086	1.00000	0.44383	0.66955	0.44383	0.44769	-9.06922	1596	1580	51	33
402	0.49985	0.00200	0.54652	0.66499	0.54652	0.54320	-8.84264	1749	1427	39	45
402	0.50086	0.00200	0.55585	0.66574	0.55585	0.53281	-8.92951	1683	1493	39	45
402	0.49837	0.09381	0.52097	0.66582	0.52097	0.52324	-8.96826	1660	1516	40	44
402	0.49933	0.00200	0.56037	0.65797	0.56037	0.55515	-8.99195	1598	1578	33	51
402	0.49970	0.12774	0.51867	0.66861	0.51867	0.50573	-8.87454	1700	1476	44	40
402	0.49870	0.66267	0.49221	0.66247	0.49221	0.46957	-8.82182	1735	1441	51	33
402	0.50026	0.11178	0.52091	0.66375	0.52091	0.50283	-9.00295	1606	1570	42	42
402	0.50015	0.23154	0.51180	0.66622	0.51180	0.50223	-8.98945	1640	1536	43	41
