number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
358	0.49924	0.01397	0.53727	0.70519	0.53727	0.52724	-9.18259	1572	1604	37	47
358	0.50040	0.06188	0.52680	0.70818	0.52680	0.53477	-9.21707	1582	1594	36	48
358	0.49924	0.01597	0.53435	0.71227	0.53435	0.52538	-9.12669	1598	1578	38	46
358	0.50032	0.00200	0.60073	0.70893	0.60073	0.59448	-9.11692	1621	1555	27	57
358	0.50086	0.00200	0.54820	0.71803	0.54820	0.54919	-9.17599	1598	1578	34	50
358	0.50047	0.02395	0.53418	0.70531	0.53418	0.51682	-9.01519	1657	1519	41	43
358	0.50049	0.00399	0.54669	0.70838	0.54669	0.52321	-9.09920	1622	1554	39	45
358	0.50036	0.60878	0.49649	0.71238	0.49649	0.46510	-9.14562	1631	1545	49	35
358	0.49956	0.00200	0.55813	0.71958	0.55813	0.52507	-9.12432	1596	1580	38	46
358	0.49972	0.00798	0.54510	0.71129	0.54510	0.55574	-8.86684	1753	1423	37	47
358	0.49849	0.09980	0.52034	0.72394	0.52034	0.50053	-9.03290	1667	1509	44	40
358	0.49934	0.36926	0.50444	0.70689	0.50444	0.49515	-9.13800	1595	1581	43	41
358	0.49994	0.02595	0.53507	0.71573	0.53507	0.50876	-9.17100	1568	1608	40	44
358	0.50051	0.00200	0.56242	0.70102	0.56242	0.54005	-8.88938	1729	1447	39	45
358	0.50021	0.00200	0.55283	0.69957	0.55283	0.55143	-9.07839	1650	1526	35	49
358	0.50012	0.69261	0.49183	0.70739	0.49183	0.48406	-9.09631	1638	1538	46	38
358	0.49898	0.00200	0.57135	0.71493	0.57135	0.53323	-9.12715	1610	1566	37	47
358	0.49916	0.00200	0.56852	0.71078	0.56852	0.55864	-9.01491	1658	1518	34	50
358	0.50063	0.36727	0.50661	0.71884	0.50661	0.53260	-9.14618	1606	1570	37	47
358	0.50068	0.03992	0.53110	0.71394	0.53110	0.52053	-9.10027	1605	1571	39	45
