number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
263	0.50028	0.00200	0.58524	0.70540	0.58524	0.55987	-9.06506	1628	1548	33	51
263	0.49867	0.00200	0.56630	0.70933	0.56630	0.54547	-9.07525	1650	1526	36	48
263	0.49986	0.49102	0.50088	0.70779	0.50088	0.50945	-9.07675	1648	1528	42	42
263	0.50180	0.64471	0.49572	0.70913	0.49572	0.47632	-9.27903	1551	1625	45	39
263	0.49962	0.00599	0.54261	0.71077	0.54261	0.52888	-9.07699	1658	1518	39	45
263	0.50111	0.99800	0.44608	0.71342	0.44608	0.47899	-9.28025	1568	1608	45	39
263	0.50020	0.03792	0.53179	0.70662	0.53179	0.51867	-9.12273	1631	1545	40	44
263	0.49968	0.00399	0.55398	0.71069	0.55398	0.52261	-9.01294	1656	1520	40	44
263	0.49957	0.00200	0.55241	0.70404	0.55241	0.53921	-9.01173	1648	1528	37	47
263	0.50162	0.52495	0.50092	0.71262	0.50092	0.51981	-9.15058	1676	1500	41	43
263	0.49991	0.00200	0.55732	0.71234	0.55732	0.52119	-8.99676	1647	1529	40	44
263	0.49954	0.05389	0.52631	0.71202	0.52631	0.50664	-9.03637	1668	1508	43	41
263	0.50044	0.59481	0.49620	0.70488	0.49620	0.47914	-8.80834	1758	1418	50	34
263	0.50008	0.01397	0.53376	0.70002	0.53376	0.56006	-9.06075	1667	1509	34	50
263	0.49953	0.00200	0.55745	0.71859	0.55745	0.53839	-9.15547	1605	1571	36	48
263	0.50035	0.19561	0.51561	0.71141	0.51561	0.51332	-9.17082	1597	1579	40	44
263	0.50077	0.89222	0.48116	0.71946	0.48116	0.50973	-9.20169	1612	1564	41	43
263	0.49895	0.12774	0.51574	0.71027	0.51574	0.48492	-9.34854	1530	1646	43	41
263	0.50092	0.00200	0.55695	0.71244	0.55695	0.52872	-9.11142	1657	1519	39	45
263	0.50045	0.03194	0.53079	0.71480	0.53079	0.52882	-9.24345	1582	1594	37	47
