	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
1	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
2	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
3	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
4	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
5	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
6	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
7	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
8	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
9	32	0.50071	0.9703	0.50472	0.44585	0.50472	0.5091	-8.34934	1608	1567	41	42
