	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
1	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
2	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
3	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
4	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
5	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
6	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
7	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
8	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
9	468	0.49636	0.56436	0.53169	0.49164	0.53169	0.51159	-8.33993	1642	1534	40	42
