number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
126	0.49836	0.56487	0.49617	0.71077	0.49617	0.50223	-9.10714	1640	1536	43	41
126	0.50052	1.00000	0.44474	0.69889	0.44474	0.43757	-9.00588	1683	1493	55	29
126	0.50034	0.09381	0.52294	0.71714	0.52294	0.51710	-9.12701	1621	1555	40	44
126	0.50034	0.22754	0.51364	0.71374	0.51364	0.51484	-9.32465	1531	1645	38	46
126	0.50007	0.00200	0.57694	0.71635	0.57694	0.54831	-8.98599	1668	1508	36	48
126	0.50023	0.99601	0.46366	0.70969	0.46366	0.45553	-9.11462	1608	1568	50	34
126	0.49969	0.51297	0.49990	0.72340	0.49990	0.48642	-9.14480	1653	1523	46	38
126	0.50088	0.73653	0.49116	0.71186	0.49116	0.46724	-8.85481	1758	1418	52	32
126	0.50015	0.25948	0.51045	0.70974	0.51045	0.50992	-9.07867	1651	1525	42	42
126	0.50098	0.63473	0.49533	0.72400	0.49533	0.49906	-9.30005	1582	1594	42	42
126	0.49996	0.00599	0.54173	0.70155	0.54173	0.52872	-9.02742	1657	1519	39	45
126	0.49811	0.33533	0.50483	0.72184	0.50483	0.50148	-8.99958	1673	1503	44	40
126	0.50009	0.00399	0.56434	0.70761	0.56434	0.53392	-8.99357	1690	1486	39	45
126	0.49933	0.88224	0.48029	0.71060	0.48029	0.47899	-9.14890	1568	1608	45	39
126	0.49952	0.87226	0.48106	0.70775	0.48106	0.49172	-9.15400	1611	1565	44	40
126	0.49952	0.35130	0.50674	0.71796	0.50674	0.51235	-9.31433	1553	1623	39	45
126	0.49960	1.00000	0.45373	0.72166	0.45373	0.47216	-9.13000	1638	1538	48	36
126	0.49914	0.71257	0.48979	0.70646	0.48979	0.50088	-9.00208	1707	1469	45	39
126	0.49853	0.74850	0.48863	0.70648	0.48863	0.51385	-8.95564	1676	1500	42	42
126	0.50031	0.43313	0.50332	0.70787	0.50332	0.49824	-9.32029	1539	1637	41	43
