number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
179	0.57417	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53763
179	0.57417	0.57848	0.64911	0.64911	1.31532	0.68745	0.50692	0.16832	0.53763
179	0.57417	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53763
179	0.57417	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53763
179	0.57416	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53763
179	0.57416	0.57848	0.64911	0.64911	1.31532	0.68745	0.50692	0.16832	0.53763
179	0.57416	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53763
179	0.57417	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53763
179	0.57417	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53767
179	0.57417	0.57833	0.64883	0.64883	1.31449	0.68788	0.50692	0.16832	0.53767
