	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
1	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
2	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
3	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
4	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
5	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
6	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
7	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
8	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
9	71	0.49904	0.33663	0.56997	0.51526	0.56997	0.55565	-8.33986	1638	1537	33	50
