number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
131	0.49842	0.81437	0.48548	1.00000	0.48548	0.50897	-15.45809	1645	1531	42	42
131	0.50065	0.02395	0.53372	1.00000	0.53372	0.50847	-15.72404	1604	1572	41	43
131	0.50040	0.00599	0.53990	1.00000	0.53990	0.51660	-15.99601	1580	1596	39	45
131	0.50056	0.00399	0.54933	1.00000	0.54933	0.55149	-14.67888	1726	1450	37	47
131	0.49942	0.00200	0.56671	1.00000	0.56671	0.55778	-14.08096	1766	1410	37	47
131	0.49992	0.04391	0.53096	1.00000	0.53096	0.50780	-14.25725	1751	1425	45	39
131	0.49998	0.00399	0.55093	1.00000	0.55093	0.53599	-14.23052	1741	1435	40	44
131	0.50171	0.04790	0.52800	1.00000	0.52800	0.50743	-15.01592	1673	1503	43	41
131	0.50028	0.02595	0.53059	1.00000	0.53059	0.51417	-14.97823	1678	1498	42	42
131	0.50017	0.00200	0.55888	1.00000	0.55888	0.54966	-13.81323	1790	1386	39	45
131	0.50025	0.12176	0.51977	1.00000	0.51977	0.53023	-14.01012	1780	1396	42	42
131	0.50090	0.71657	0.49181	1.00000	0.49181	0.48664	-14.37392	1730	1446	48	36
131	0.49973	0.01996	0.53491	1.00000	0.53491	0.50308	-14.48989	1721	1455	45	39
131	0.50007	0.01597	0.53371	1.00000	0.53371	0.51700	-14.72571	1696	1480	42	42
131	0.50125	0.00399	0.55340	1.00000	0.55340	0.55653	-14.14071	1758	1418	37	47
131	0.49907	0.02196	0.53219	1.00000	0.53219	0.54034	-14.99045	1693	1483	38	46
131	0.50077	0.01597	0.53909	1.00000	0.53909	0.55249	-13.86449	1808	1368	39	45
131	0.50069	0.09980	0.52059	1.00000	0.52059	0.50428	-15.34449	1653	1523	43	41
131	0.50034	0.00200	0.54305	1.00000	0.54305	0.52535	-14.29176	1749	1427	42	42
131	0.50053	0.00200	0.57797	1.00000	0.57797	0.54916	-13.99037	1749	1427	38	46
