	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
1	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
2	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
3	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
4	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
5	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
6	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
7	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
8	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
9	330	0.49381	0.25743	0.53381	0.51394	0.53381	0.50514	-8.35094	1602	1574	41	41
