number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
463	0.49936	0.51896	0.49904	1.00000	0.49905	0.50016	-12.07545	1589	1587	42	42
463	0.49941	0.05788	0.52292	1.00000	0.52283	0.49843	-12.15313	1578	1598	42	42
463	0.50132	0.00399	0.55818	1.00000	0.55802	0.54998	-11.69905	1603	1573	34	50
463	0.50131	0.10579	0.52071	1.00000	0.52082	0.51880	-12.21844	1594	1582	39	45
463	0.49998	0.22555	0.51219	1.00000	0.51226	0.47632	-12.05438	1551	1625	45	39
463	0.49889	0.00200	0.56990	1.00000	0.57011	0.56204	-11.87704	1604	1572	32	52
463	0.50058	0.14770	0.51671	1.00000	0.51656	0.52308	-11.35525	1659	1517	40	44
463	0.49923	0.01198	0.53753	1.00000	0.53760	0.51676	-11.85334	1581	1595	39	45
463	0.50090	0.00399	0.54413	1.00000	0.54408	0.54938	-11.70707	1637	1539	35	49
463	0.49957	0.00200	0.56059	1.00000	0.56013	0.52488	-12.27195	1557	1619	37	47
463	0.49991	0.01597	0.53600	1.00000	0.53572	0.50768	-11.94651	1599	1577	41	43
463	0.49941	0.26148	0.50952	1.00000	0.50952	0.52095	-12.48765	1532	1644	37	47
463	0.49943	0.00998	0.53867	1.00000	0.53838	0.55221	-11.62863	1655	1521	35	49
463	0.49953	0.02794	0.53472	1.00000	0.53473	0.53105	-11.57655	1634	1542	38	46
463	0.50135	0.10180	0.52320	1.00000	0.52330	0.53603	-11.94405	1590	1586	36	48
463	0.50022	0.26547	0.51144	1.00000	0.51144	0.50369	-12.84681	1498	1678	39	45
463	0.49930	0.00200	0.54689	1.00000	0.54633	0.54450	-11.93171	1606	1570	35	49
463	0.50121	0.24551	0.51176	1.00000	0.51179	0.52161	-12.17778	1574	1602	38	46
463	0.50045	0.00200	0.55067	1.00000	0.55061	0.53858	-11.77581	1644	1532	37	47
463	0.50093	0.02196	0.53787	1.00000	0.53794	0.53726	-12.16975	1560	1616	35	49
