	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
1	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
2	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
3	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
4	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
5	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
6	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
7	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
8	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
9	3	0.49983	0.27723	0.54728	0.51731	0.54728	0.54377	-8.3303	1677	1498	37	46
