	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	432	0.49883	0.67327	0.44585	0.48608	0.44585	0.5	-8.99871	0	3176	0	84
1	432	0.50276	1.0	0.56326	0.42927	0.56326	0.5	-8.03848	0	3176	0	84
2	432	0.50109	0.21782	0.43924	0.52417	0.43924	0.5	-8.99871	0	3176	0	84
3	432	0.50371	0.9703	0.43085	0.45404	0.43085	0.5	-8.99871	0	3176	0	84
4	432	0.50466	0.88119	0.54579	0.47654	0.54579	0.5	-8.99871	0	3176	0	84
5	432	0.49998	0.28713	0.56511	0.51802	0.56511	0.5	-8.03848	0	3176	0	84
6	432	0.50333	0.59406	0.43937	0.49975	0.43937	0.5	-8.99871	0	3176	0	84
7	432	0.50224	0.35644	0.56132	0.51526	0.56132	0.5	-8.03848	0	3176	0	84
8	432	0.5021	0.9604	0.56007	0.45583	0.56007	0.5	-8.03848	0	3176	0	84
9	432	0.50204	0.9901	0.46748	0.44366	0.46748	0.5	-8.03848	0	3176	0	84
