number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
432	0.44585	0.50000	0.00129	0.00129	1.00000	1.00000	0.49883	0.67327	0.48608
432	0.56326	0.50000	0.96152	0.96152	1.00000	1.00000	0.50276	1.00000	0.42927
432	0.43924	0.50000	0.00129	0.00129	1.00000	1.00000	0.50109	0.21782	0.52417
432	0.43085	0.50000	0.00129	0.00129	1.00000	1.00000	0.50371	0.97030	0.45404
432	0.54579	0.50000	0.00129	0.00129	1.00000	1.00000	0.50466	0.88119	0.47654
432	0.56511	0.50000	0.96152	0.96152	1.00000	1.00000	0.49998	0.28713	0.51802
432	0.43937	0.50000	0.00129	0.00129	1.00000	1.00000	0.50333	0.59406	0.49975
432	0.56132	0.50000	0.96152	0.96152	1.00000	1.00000	0.50224	0.35644	0.51526
432	0.56007	0.50000	0.96152	0.96152	1.00000	1.00000	0.50210	0.96040	0.45583
432	0.46748	0.50000	0.96152	0.96152	1.00000	1.00000	0.50204	0.99010	0.44366
