number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
421	0.49988	0.01996	0.53491	0.99442	0.52766	0.50000	-9.04857	0	3176	0	84
421	0.50134	0.00200	0.56224	0.99602	0.56882	0.50000	-9.45550	0	3176	0	84
421	0.50018	0.00200	0.56341	0.99252	0.54924	0.50000	-8.42403	3176	0	84	0
421	0.50071	0.00200	0.56258	0.99533	0.58343	0.50000	-9.07637	0	3176	0	84
421	0.49980	0.06387	0.52474	0.99393	0.53654	0.50000	-8.04284	3176	0	84	0
421	0.49938	0.00200	0.57966	0.99055	0.58465	0.50000	-7.87970	3176	0	84	0
421	0.49985	0.00200	0.57348	0.99273	0.57156	0.50000	-10.24554	0	3176	0	84
421	0.50038	0.00399	0.54085	0.99229	0.52654	0.50000	-8.08226	3176	0	84	0
421	0.49994	0.03194	0.53135	0.99452	0.53223	0.50000	-8.36169	3176	0	84	0
421	0.49964	0.00200	0.57593	0.99210	0.57330	0.50000	-8.16381	3176	0	84	0
421	0.50071	0.00200	0.59445	0.99408	0.60270	0.50000	-8.52097	3176	0	84	0
421	0.49985	0.62475	0.49380	0.99110	0.51299	0.50000	-8.90862	3176	0	84	0
421	0.50000	0.00200	0.55813	0.98260	0.56562	0.50000	-8.54694	3176	0	84	0
421	0.50189	0.53293	0.50029	0.99260	0.52077	0.50000	-8.44717	3176	0	84	0
421	0.49949	0.00200	0.55594	0.99034	0.55525	0.50000	-9.59091	0	3176	0	84
421	0.50078	0.00200	0.55185	0.99538	0.53705	0.53943	-8.95612	2519	657	60	24
421	0.49886	0.06986	0.52251	0.99096	0.51148	0.50000	-9.09842	0	3176	0	84
421	0.50010	0.94611	0.47404	0.99903	0.48541	0.50000	-8.44625	3176	0	84	0
421	0.50035	0.11377	0.51974	0.98924	0.52226	0.50000	-10.02693	0	3176	0	84
421	0.50055	0.01597	0.53521	0.99312	0.54091	0.50000	-8.65232	3176	0	84	0
