	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	299	0.50294	0.31683	0.51911	0.51513	0.51911	0.49937	-8.0391	3172	3	84	0
1	299	0.4986	0.9901	0.49969	0.44758	0.49969	0.5	-8.03848	0	3176	0	84
2	299	0.50432	0.84158	0.51345	0.47886	0.51345	0.5	-8.03848	0	3176	0	84
3	299	0.50303	0.51485	0.52294	0.50154	0.52294	0.5	-8.03848	0	3176	0	84
4	299	0.49983	0.58416	0.56148	0.49459	0.56148	0.51303	-8.1287	2615	560	66	17
5	299	0.49747	0.90099	0.49971	0.46322	0.49971	0.5	-8.03848	0	3176	0	84
6	299	0.50173	0.92079	0.50419	0.46598	0.50419	0.5	-8.03848	0	3176	0	84
7	299	0.50175	0.91089	0.53121	0.4736	0.53121	0.54694	-8.26954	1924	1251	43	40
8	299	0.49792	0.71287	0.55071	0.48193	0.55071	0.51935	-8.08245	2883	292	73	10
9	299	0.49869	0.85149	0.50867	0.47137	0.50867	0.5	-8.03848	0	3176	0	84
