number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
299	0.51911	0.49937	0.96090	0.96090	0.00000	1.00126	0.50294	0.31683	0.51513
299	0.49969	0.50000	0.96152	0.96152	1.00000	1.00000	0.49860	0.99010	0.44758
299	0.51345	0.50000	0.96152	0.96152	1.00000	1.00000	0.50432	0.84158	0.47886
299	0.52294	0.50000	0.96152	0.96152	1.00000	1.00000	0.50303	0.51485	0.50154
299	0.56148	0.51303	0.87130	0.87130	1.14779	0.96836	0.49983	0.58416	0.49459
299	0.49971	0.50000	0.96152	0.96152	1.00000	1.00000	0.49747	0.90099	0.46322
299	0.50419	0.50000	0.96152	0.96152	1.00000	1.00000	0.50173	0.92079	0.46598
299	0.53121	0.54694	0.73046	0.73046	1.23817	0.84502	0.50175	0.91089	0.47360
299	0.55071	0.51935	0.91755	0.91755	1.41947	0.95737	0.49792	0.71287	0.48193
299	0.50867	0.50000	0.96152	0.96152	1.00000	1.00000	0.49869	0.85149	0.47137
