number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
248	0.49931	0.10778	0.52117	0.83191	0.53637	0.50000	-9.01016	3177	0	83	0
248	0.49956	0.78443	0.48658	0.98999	0.49166	0.50000	-12.84808	0	3177	0	83
248	0.50030	0.19760	0.51407	0.98816	0.51049	0.50079	-9.84886	5	3172	0	83
248	0.50068	0.00200	0.54406	0.99116	0.58435	0.50000	-11.11039	0	3177	0	83
248	0.49975	0.06387	0.52401	0.98455	0.54956	0.50000	-10.81606	0	3177	0	83
248	0.50028	0.00200	0.58396	0.99102	0.56572	0.50000	-13.45528	0	3177	0	83
248	0.50040	0.83832	0.48282	0.98580	0.55468	0.50000	-6.16392	3177	0	83	0
248	0.50041	0.16567	0.51652	0.98719	0.51924	0.50000	-11.45939	0	3177	0	83
248	0.49973	0.16367	0.51525	0.98902	0.54110	0.50000	-7.38316	3177	0	83	0
248	0.50119	0.20958	0.51424	0.98808	0.53141	0.50000	-7.90303	3177	0	83	0
248	0.49987	0.79641	0.48499	0.60633	0.53041	0.50000	-9.13360	0	3177	0	83
248	0.50141	0.26347	0.51176	0.77699	0.53580	0.50000	-9.34532	0	3177	0	83
248	0.50074	0.01198	0.54469	0.76884	0.52957	0.50000	-8.99893	3177	0	83	0
248	0.50014	0.00200	0.55915	0.98534	0.56929	0.50000	-6.68238	3177	0	83	0
248	0.50034	0.21756	0.51321	0.81088	0.51976	0.50000	-9.13270	0	3177	0	83
248	0.49966	0.00998	0.53973	0.98622	0.54100	0.50000	-11.96864	0	3177	0	83
248	0.49983	0.65868	0.49177	0.66874	0.48564	0.50000	-8.98541	3177	0	83	0
248	0.49911	0.29142	0.50867	0.98077	0.51749	0.50000	-9.65305	0	3177	0	83
248	0.50018	0.02794	0.53251	0.98489	0.53331	0.50000	-6.71143	3177	0	83	0
248	0.50030	0.64671	0.49433	0.99108	0.50683	0.50000	-5.29319	3177	0	83	0
