	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	121	0.89795	0.22772	0.52112	0.90613	0.52112	0.50124	-8.07135	2956	219	77	6
1	121	0.89817	0.15842	0.52665	0.90938	0.52665	0.5	-8.03848	3176	0	84	0
2	121	0.89783	0.10891	0.5286	0.91085	0.5286	0.49139	-8.782	398	2777	11	72
3	121	0.89781	0.14851	0.52691	0.9088	0.52691	0.49984	-8.038640000000001	3175	0	84	0
4	121	0.89791	0.18812	0.52687	0.90769	0.52687	0.5	-8.99871	0	3176	0	84
5	121	0.89804	0.15842	0.53022	0.90875	0.53022	0.5	-8.99871	0	3176	0	84
6	121	0.8976	0.09901	0.53206	0.91116	0.53206	0.49984	-8.038640000000001	3175	0	84	0
7	121	0.89822	0.13861	0.53417	0.91027	0.53417	0.5	-8.99871	0	3176	0	84
8	121	0.89769	0.10891	0.53162	0.91054	0.53162	0.50664	-8.95083	80	3095	1	82
9	121	0.89783	0.06931	0.53663	0.91054	0.53663	0.5	-8.99871	0	3176	0	84
