number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
121	0.52112	0.50124	0.92865	0.92865	1.03588	0.99734	0.89795	0.22772	0.90613
121	0.52665	0.50000	0.96152	0.96152		1.00000	0.89817	0.15842	0.90938
121	0.52860	0.49139	0.21800	0.21800	0.98030	1.13713	0.89783	0.10891	0.91085
121	0.52691	0.49984	0.96136	0.96136	0.00000	1.00031	0.89781	0.14851	0.90880
121	0.52687	0.50000	0.00129	0.00129	1.00000		0.89791	0.18812	0.90769
121	0.53022	0.50000	0.00129	0.00129	1.00000		0.89804	0.15842	0.90875
121	0.53206	0.49984	0.96136	0.96136	0.00000	1.00031	0.89760	0.09901	0.91116
121	0.53417	0.50000	0.00129	0.00129	1.00000		0.89822	0.13861	0.91027
121	0.53162	0.50664	0.04917	0.04917	1.01363	0.47262	0.89769	0.10891	0.91054
121	0.53663	0.50000	0.00129	0.00129	1.00000		0.89783	0.06931	0.91054
