number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
32	0.50057	0.54491	0.49850	0.00000	0.49850	0.50069	-13.28880	1612	1565	42	41
32	0.50026	0.84032	0.48282	0.00000	0.48282	0.49695	-13.60515	1550	1627	41	42
32	0.49941	0.87824	0.47920	0.00000	0.47920	0.49041	-13.17423	1585	1592	43	40
32	0.50129	0.74451	0.49093	0.00000	0.49093	0.48419	-12.99297	1622	1555	45	38
32	0.49951	0.00200	0.55274	0.00000	0.55274	0.53935	-12.86275	1628	1549	36	47
32	0.49866	0.27545	0.50843	0.00000	0.50843	0.50305	-12.71522	1627	1550	42	41
32	0.50041	0.12375	0.51929	0.00000	0.51929	0.52325	-13.50730	1564	1613	37	46
32	0.49976	0.01597	0.53695	0.00000	0.53695	0.52215	-13.15444	1557	1620	37	46
32	0.49998	0.87425	0.48134	0.00000	0.48134	0.51932	-13.61717	1539	1638	37	46
32	0.50055	0.05589	0.52793	0.00000	0.52793	0.52089	-13.39219	1549	1628	37	46
32	0.50056	0.28343	0.51050	0.00000	0.51050	0.53137	-13.64403	1539	1638	35	48
32	0.50016	0.85629	0.48305	0.00000	0.48305	0.49738	-13.30926	1591	1586	42	41
32	0.49979	0.21557	0.51205	0.00000	0.51205	0.50302	-13.72438	1512	1665	39	44
32	0.49944	0.28942	0.50957	0.00000	0.50957	0.49923	-12.59638	1641	1536	43	40
32	0.50021	0.03792	0.52811	0.00000	0.52811	0.50947	-13.25144	1553	1624	39	44
32	0.50081	0.94611	0.47348	0.00000	0.47348	0.48037	-12.77782	1636	1541	46	37
32	0.49965	0.87026	0.48181	0.00000	0.48181	0.48789	-13.25139	1569	1608	43	40
32	0.50089	0.18363	0.51669	0.00000	0.51669	0.50738	-13.20219	1578	1599	40	43
32	0.50050	0.26747	0.51079	0.00000	0.51079	0.51754	-13.29470	1566	1611	38	45
32	0.50162	0.21756	0.51556	0.00000	0.51556	0.51514	-13.05857	1589	1588	39	44
