	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
1	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
2	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
3	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
4	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
5	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
6	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
7	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
8	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
9	54	0.50358	0.44554	0.50303	0.50604	0.50303	0.50932	-8.32921	1684	1491	42	41
