number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
460	0.49958	0.88024	0.48021	0.00000	0.48021	0.51193	-11.46511	1815	1361	46	38
460	0.50051	1.00000	0.44079	0.00000	0.44079	0.45216	-12.54160	1700	1476	53	31
460	0.50034	0.96806	0.46983	0.00000	0.46983	0.46845	-16.02368	1312	1864	40	44
460	0.50119	0.98403	0.46705	0.00000	0.46705	0.47439	-12.51427	1690	1486	49	35
460	0.49959	0.96008	0.47110	0.00000	0.47110	0.49578	-13.25503	1599	1577	43	41
460	0.50059	1.00000	0.45246	0.00000	0.45246	0.47905	-13.08741	1644	1532	47	37
460	0.49924	0.99800	0.44555	0.00000	0.44555	0.44992	-12.95763	1648	1528	52	32
460	0.49898	0.99002	0.46109	0.00000	0.46109	0.46155	-14.11015	1495	1681	46	38
460	0.49985	1.00000	0.43508	0.00000	0.43508	0.45896	-13.69655	1592	1584	49	35
460	0.49937	0.99002	0.45931	0.00000	0.45931	0.46932	-13.26599	1620	1556	48	36
460	0.49938	0.94810	0.47020	0.00000	0.47020	0.45692	-13.45362	1579	1597	49	35
460	0.49990	0.83633	0.48199	0.00000	0.48199	0.49037	-14.38328	1489	1687	41	43
460	0.49918	0.27745	0.50882	0.00000	0.50882	0.50739	-11.18577	1824	1352	47	37
460	0.50024	0.99601	0.45879	0.00000	0.45879	0.44633	-12.75668	1663	1513	53	31
460	0.50046	0.98802	0.46392	0.00000	0.46392	0.47741	-12.18208	1747	1429	50	34
460	0.49896	0.98403	0.46366	0.00000	0.46366	0.47925	-14.46726	1494	1682	43	41
460	0.50064	0.92016	0.47743	0.00000	0.47743	0.48970	-12.98280	1636	1540	45	39
460	0.50089	1.00000	0.44292	0.00000	0.44292	0.45818	-13.56972	1587	1589	49	35
460	0.49875	1.00000	0.44052	0.00000	0.44052	0.46019	-13.78538	1562	1614	48	36
460	0.49999	0.99800	0.44555	0.00000	0.44555	0.45458	-13.02487	1602	1574	50	34
