number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
274	0.49973	0.19361	0.51393	0.00000	0.51393	0.51537	-13.03499	1610	1566	40	44
274	0.49978	0.33134	0.50730	0.00000	0.50730	0.50548	-13.28016	1585	1591	41	43
274	0.49972	0.00200	0.56143	0.00000	0.56143	0.53874	-12.80375	1645	1531	37	47
274	0.49844	0.00200	0.55183	0.00000	0.55183	0.55981	-13.51219	1552	1624	31	53
274	0.49934	0.00399	0.54832	0.00000	0.54832	0.53432	-11.24387	1806	1370	42	42
274	0.49933	0.05389	0.52594	0.00000	0.52594	0.50879	-14.71024	1417	1759	36	48
274	0.50213	0.09780	0.52505	0.00000	0.52505	0.51505	-11.28930	1797	1379	45	39
274	0.50109	0.00599	0.54732	0.00000	0.54732	0.51545	-10.45202	1913	1263	48	36
274	0.50062	0.00399	0.54734	0.00000	0.54734	0.51004	-11.26287	1803	1373	46	38
274	0.50107	0.01198	0.53918	0.00000	0.53918	0.52255	-13.40538	1580	1596	38	46
274	0.49943	0.09381	0.52213	0.00000	0.52213	0.49161	-10.61045	1875	1301	51	33
274	0.49878	0.00998	0.54267	0.00000	0.54267	0.55026	-11.62568	1756	1420	38	46
274	0.50009	0.00200	0.55846	0.00000	0.55846	0.54939	-14.49962	1448	1728	30	54
274	0.49972	0.00200	0.54576	0.00000	0.54576	0.53732	-12.89247	1636	1540	37	47
274	0.49933	0.00399	0.54509	0.00000	0.54509	0.53125	-16.02576	1295	1881	29	55
274	0.49920	0.08982	0.52188	0.00000	0.52188	0.50204	-11.52656	1790	1386	47	37
274	0.49915	0.63872	0.49340	0.00000	0.49340	0.46992	-13.14905	1586	1590	47	37
274	0.49982	0.08982	0.52489	0.00000	0.52489	0.50217	-13.30078	1564	1612	41	43
274	0.49970	0.13373	0.51782	0.00000	0.51782	0.52122	-10.78701	1874	1302	46	38
274	0.50019	0.00200	0.55036	0.00000	0.55036	0.53760	-13.13623	1600	1576	36	48
