number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
273	0.50027	0.01597	0.53626	0.00000	0.53626	0.53234	-11.96223	1660	1517	38	45
273	0.50031	0.30339	0.50924	0.00000	0.50924	0.50640	-12.59357	1610	1567	41	42
273	0.50044	0.02196	0.53494	0.00000	0.53494	0.51864	-12.70934	1573	1604	38	45
273	0.50077	0.01198	0.54369	0.00000	0.54369	0.53690	-11.81389	1689	1488	38	45
273	0.50019	0.02595	0.53355	0.00000	0.53355	0.54373	-13.16498	1541	1636	33	50
273	0.49994	0.36327	0.50618	0.00000	0.50618	0.48439	-12.82216	1585	1592	44	39
273	0.50026	0.00599	0.54502	0.00000	0.54502	0.52494	-12.32765	1613	1564	38	45
273	0.50068	0.56687	0.49816	0.00000	0.49816	0.51932	-12.66560	1539	1638	37	46
273	0.49953	0.48303	0.49891	0.00000	0.49891	0.50026	-12.80976	1571	1606	41	42
273	0.50022	0.07585	0.52420	0.00000	0.52420	0.52179	-12.48446	1593	1584	38	45
273	0.49922	0.21756	0.51016	0.00000	0.51016	0.49727	-12.70387	1552	1625	41	42
273	0.50017	0.11976	0.51895	0.00000	0.51895	0.50718	-12.22680	1615	1562	41	42
273	0.50151	0.02595	0.53446	0.00000	0.53446	0.54490	-12.47921	1625	1552	35	48
273	0.50024	0.01198	0.53586	0.00000	0.53586	0.51956	-13.64367	1464	1713	35	48
273	0.49995	0.54890	0.49724	0.00000	0.49724	0.49019	-13.22153	1507	1670	41	42
273	0.49872	0.11178	0.51935	0.00000	0.51935	0.50585	-13.11654	1530	1647	39	44
273	0.50056	0.00399	0.54965	0.00000	0.54965	0.54227	-12.81043	1570	1607	34	49
273	0.50033	0.00798	0.53413	0.00000	0.53413	0.54373	-13.05121	1541	1636	33	50
273	0.50132	0.08982	0.52346	0.00000	0.52346	0.51988	-13.63355	1466	1711	35	48
273	0.49935	0.00399	0.54408	0.00000	0.54408	0.53186	-12.04604	1657	1520	38	45
