	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
1	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
2	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
3	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
4	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
5	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
6	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
7	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
8	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
9	134	0.49397	0.52475	0.51768	0.49499	0.51768	0.50157	-8.35221	1598	1577	42	41
