number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
134	0.51768	0.50157	0.64779	0.64779	1.00634	0.99374	0.49397	0.52475	0.49499
