	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	497	0.89829	0.28713	0.6023	0.90351	0.6023	0.57455	-8.34373	1621	1555	29	53
1	497	0.89852	0.47525	0.54414	0.89903	0.54414	0.52171	-8.33288	1669	1507	40	42
2	497	0.89868	0.43564	0.5327	0.89921	0.5327	0.50808	-8.33585	1658	1518	41	41
3	497	0.89893	0.36634	0.57529	0.90224	0.57529	0.54517	-8.33327	1664	1512	35	47
4	497	0.89817	0.33663	0.53338	0.9018	0.53338	0.52332	-8.34013	1640	1536	38	44
5	497	0.89882	0.47525	0.55304	0.89925	0.55304	0.53656	-8.35813	1572	1604	35	47
6	497	0.89855	0.14851	0.59762	0.90777	0.59762	0.59503	-8.34929	1598	1578	25	57
7	497	0.89895	0.50495	0.6014	0.89908	0.6014	0.58278	-8.33981	1636	1540	29	53
8	497	0.89791	0.08911	0.54021	0.91264	0.54021	0.51159	-8.33993	1642	1534	40	42
9	497	0.89879	0.28713	0.55554	0.90474	0.55554	0.53368	-8.35283	1591	1585	35	47
