number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
459	0.49957	0.01796	0.53528	1.00000	0.51858	0.50535	-8.78347	1811	1365	47	37
459	0.49930	0.48104	0.50071	1.00000	0.48550	0.49216	-9.03917	1576	1600	43	41
459	0.49945	0.03393	0.53005	1.00000	0.49172	0.49751	-8.99334	1610	1566	43	41
459	0.50080	0.13573	0.52082	1.00000	0.54874	0.56009	-8.90101	1705	1471	35	49
459	0.50029	0.20958	0.51397	1.00000	0.52730	0.51244	-8.94748	1667	1509	42	42
459	0.50043	0.00399	0.54934	1.00000	0.54625	0.52151	-8.94995	1649	1527	40	44
459	0.49935	0.56886	0.49667	1.00000	0.53067	0.51836	-8.94476	1629	1547	40	44
459	0.50043	0.00998	0.54039	1.00000	0.57111	0.56242	-8.90149	1682	1494	34	50
459	0.50043	0.49301	0.50068	1.00000	0.49994	0.49389	-9.02825	1587	1589	43	41
459	0.49975	0.88224	0.47931	1.00000	0.45644	0.48794	-9.02246	1587	1589	44	40
459	0.49845	0.01198	0.53539	1.00000	0.54013	0.53477	-9.01839	1582	1594	36	48
459	0.50073	0.00399	0.54326	1.00000	0.52721	0.50154	-8.86282	1749	1427	46	38
459	0.49960	0.40918	0.50407	1.00000	0.52111	0.50116	-8.91518	1671	1505	44	40
459	0.50044	0.49900	0.50070	1.00000	0.48359	0.51391	-8.84195	1752	1424	44	40
459	0.50001	0.00200	0.61186	1.00000	0.54150	0.50025	-8.86187	1703	1473	45	39
459	0.49943	0.01397	0.53590	1.00000	0.53892	0.52500	-8.84552	1709	1467	41	43
459	0.50051	0.80639	0.48648	1.00000	0.52191	0.51225	-8.95100	1628	1548	41	43
459	0.49929	0.00399	0.55378	1.00000	0.54239	0.54044	-8.99410	1618	1558	36	48
459	0.50015	0.01996	0.53443	1.00000	0.51134	0.51345	-9.02898	1560	1616	39	45
459	0.49994	0.04990	0.52636	1.00000	0.53427	0.52916	-8.98541	1622	1554	38	46
