number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
472	0.59085	0.56503	0.65618	0.65618	1.26600	0.74547	0.90025	0.88119	0.88902
472	0.58091	0.55751	0.65333	0.65333	1.23371	0.77354	0.90024	0.63366	0.89673
472	0.59830	0.55798	0.65414	0.65414	1.23608	0.77210	0.89990	0.78218	0.89116
472	0.56386	0.55171	0.65343	0.65343	1.21029	0.79648	0.90038	0.54455	0.89828
472	0.59064	0.54841	0.64774	0.64774	1.19424	0.80698	0.89988	0.92079	0.88808
472	0.58694	0.56582	0.65753	0.65753	1.27009	0.74318	0.90014	0.92079	0.88715
472	0.56127	0.55499	0.64900	0.64900	1.22121	0.78129	0.90040	1.00000	0.87690
472	0.56263	0.53779	0.65964	0.65964	1.15618	0.85354	0.90030	0.87129	0.89067
472	0.58461	0.55735	0.65306	0.65306	1.23292	0.77402	0.89985	0.67327	0.89606
472	0.58033	0.54227	0.63705	0.63705	1.16552	0.82724	0.89988	0.76238	0.89231
