number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
365	0.50131	0.00599	0.54180	1.00000	0.52834	0.52312	-9.04024	1678	1499	40	43
365	0.49947	0.21158	0.51276	1.00000	0.56291	0.53395	-9.15074	1632	1545	37	46
365	0.50032	0.99401	0.46259	1.00000	0.53670	0.50552	-9.03633	1681	1496	43	40
365	0.50076	0.20160	0.51377	1.00000	0.49482	0.49860	-9.13867	1637	1540	43	40
365	0.50006	0.81238	0.48515	1.00000	0.50192	0.50781	-9.09830	1619	1558	41	42
365	0.49880	0.00798	0.53928	1.00000	0.51831	0.53645	-9.24208	1533	1644	34	49
365	0.50045	0.00399	0.54394	1.00000	0.53285	0.52006	-9.16656	1582	1595	38	45
365	0.49947	0.05589	0.52822	1.00000	0.49523	0.49765	-9.14942	1631	1546	43	40
365	0.49977	0.02595	0.53618	1.00000	0.56364	0.52950	-9.11929	1642	1535	38	45
365	0.49952	0.09980	0.52167	1.00000	0.52315	0.50889	-9.24831	1511	1666	38	45
365	0.50036	0.06387	0.52529	1.00000	0.49707	0.49214	-9.14772	1596	1581	43	40
365	0.50029	0.00200	0.55695	1.00000	0.58595	0.56129	-9.14337	1576	1601	31	52
365	0.49906	0.89222	0.47960	1.00000	0.47116	0.45438	-9.08625	1624	1553	50	33
365	0.50083	0.64870	0.49517	1.00000	0.50266	0.50869	-9.23408	1548	1629	39	44
365	0.49918	0.03792	0.52851	1.00000	0.50522	0.49475	-9.25782	1536	1641	41	42
365	0.49964	0.45709	0.50146	1.00000	0.52626	0.53813	-9.19401	1582	1595	35	48
365	0.49950	0.00200	0.58478	1.00000	0.55709	0.54733	-8.97390	1717	1460	37	46
365	0.50001	0.00200	0.56974	1.00000	0.52342	0.50217	-9.02112	1698	1479	44	39
365	0.49991	0.08583	0.52193	1.00000	0.48579	0.46816	-9.11422	1635	1542	48	35
365	0.50182	0.08583	0.52417	1.00000	0.53320	0.51691	-9.24052	1562	1615	38	45
