	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	364	0.89867	0.25743	0.53851	0.90555	0.53851	0.51795	-8.3246	1701	1474	41	42
1	364	0.89978	0.39604	0.52178	0.90305	0.52178	0.51175	-8.35487	1586	1589	39	44
2	364	0.90016	0.33663	0.51445	0.90363	0.51445	0.50177	-8.39354	1447	1728	37	46
3	364	0.90011	0.65347	0.49303	0.89659	0.49303	0.49754	-8.33912	1647	1528	43	40
4	364	0.89881	0.53465	0.53597	0.89762	0.53597	0.50863	-8.35015	1605	1570	41	42
5	364	0.89914	0.82178	0.49826	0.89151	0.49826	0.49528	-8.36314	1557	1618	41	42
6	364	0.90031	0.9604	0.53418	0.88568	0.53418	0.52652	-8.33962	1643	1532	39	44
7	364	0.89959	0.39604	0.5289	0.90274	0.5289	0.5263	-8.36013	1566	1609	37	46
8	364	0.89939	0.82178	0.50306	0.89035	0.50306	0.50897	-8.33959	1644	1531	41	42
9	364	0.89856	0.38614	0.52327	0.90225	0.52327	0.52832	-8.36688	1540	1635	36	47
