number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
364	0.53851	0.51795	0.67540	0.67540	1.07734	0.93302	0.89867	0.25743	0.90555
364	0.52178	0.51175	0.64513	0.64513	1.04696	0.95298	0.89978	0.39604	0.90305
364	0.51445	0.50177	0.60646	0.60646	1.00650	0.99224	0.90016	0.33663	0.90363
364	0.49303	0.49754	0.66088	0.66088	0.98978	1.00948	0.90011	0.65347	0.89659
364	0.53597	0.50863	0.64985	0.64985	1.03489	0.96585	0.89881	0.53465	0.89762
364	0.49826	0.49528	0.63686	0.63686	0.98146	1.01926	0.89914	0.82178	0.89151
364	0.53418	0.52652	0.66038	0.66038	1.10987	0.89749	0.90031	0.96040	0.88568
364	0.52890	0.52630	0.63987	0.63987	1.10376	0.89333	0.89959	0.39604	0.90274
364	0.50306	0.50897	0.66041	0.66041	1.03723	0.96535	0.89939	0.82178	0.89035
364	0.52327	0.52832	0.63312	0.63312	1.11000	0.88329	0.89856	0.38614	0.90225
