number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
326	0.50013	0.00798	0.54411	1.00000	0.53114	0.51146	-8.94849	1623	1553	41	43
326	0.49989	0.15768	0.51680	1.00000	0.48428	0.48598	-8.91256	1688	1488	47	37
326	0.50062	0.98802	0.46720	1.00000	0.51916	0.49083	-8.93337	1681	1495	46	38
326	0.49999	0.39920	0.50416	1.00000	0.47523	0.49036	-8.92617	1678	1498	46	38
326	0.50045	0.55888	0.49860	1.00000	0.44863	0.47405	-8.93544	1650	1526	48	36
326	0.50002	0.99002	0.46609	1.00000	0.47229	0.47937	-8.95430	1646	1530	47	37
326	0.50033	0.00399	0.54265	1.00000	0.48824	0.50331	-8.94091	1609	1567	42	42
326	0.49931	0.04591	0.52599	1.00000	0.50833	0.51136	-8.91706	1698	1478	43	41
326	0.49890	0.16567	0.51555	1.00000	0.52042	0.52541	-8.96303	1636	1540	39	45
326	0.49995	0.84032	0.48281	1.00000	0.48939	0.47720	-9.05713	1481	1695	43	41
326	0.50017	0.09581	0.52192	1.00000	0.52670	0.51065	-8.98496	1580	1596	40	44
326	0.49966	0.93014	0.47619	1.00000	0.50122	0.50730	-8.89306	1710	1466	44	40
326	0.50085	0.32535	0.50822	1.00000	0.53937	0.50664	-8.92604	1668	1508	43	41
326	0.49952	0.06986	0.52178	1.00000	0.53368	0.53593	-8.92571	1665	1511	38	46
326	0.50028	0.16567	0.51687	1.00000	0.48702	0.50598	-8.95342	1626	1550	42	42
326	0.50022	0.85828	0.48306	1.00000	0.53701	0.53593	-8.92861	1665	1511	38	46
326	0.49924	0.01796	0.53463	1.00000	0.49363	0.49505	-8.92042	1670	1506	45	39
326	0.50004	0.00998	0.53728	1.00000	0.53039	0.50651	-8.90439	1705	1471	44	40
326	0.50089	0.25349	0.51261	1.00000	0.50618	0.49625	-8.96979	1602	1574	43	41
326	0.50012	0.44711	0.50205	1.00000	0.54197	0.54144	-8.87750	1700	1476	38	46
