	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	348	0.89968	0.07921	0.50944	0.91406	0.50944	0.49414	-8.32528	1701	1474	45	38
1	348	0.89959	0.0495	0.50835	0.91749	0.50835	0.50009	-8.32511	1696	1479	44	39
2	348	0.90073	0.10891	0.53159	0.9149	0.53159	0.49335	-8.32658	1697	1478	46	37
3	348	0.89908	0.23762	0.51536	0.90648	0.51536	0.49681	-8.32088	1719	1456	46	37
4	348	0.89986	0.17822	0.50792	0.90862	0.50792	0.49511	-8.314119999999999	1746	1429	47	36
5	348	0.89987	0.24752	0.51472	0.90777	0.51472	0.52217	-8.3273	1690	1485	40	43
6	348	0.89984	0.05941	0.51019	0.9178	0.51019	0.49178	-8.32919	1686	1489	45	38
7	348	0.89933	0.11881	0.50159	0.9125	0.50159	0.49196	-8.31924	1725	1450	46	37
8	348	0.89957	0.19802	0.52034	0.90929	0.52034	0.51873	-8.32331	1707	1468	42	41
9	348	0.90017	0.22772	0.53757	0.90742	0.53757	0.50714	-8.32313	1709	1466	44	39
