number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
348	0.50944	0.49414	0.67472	0.67472	0.97474	1.02188	0.89968	0.07921	0.91406
348	0.50835	0.50009	0.67489	0.67489	1.00039	0.99966	0.89959	0.04950	0.91749
348	0.53159	0.49335	0.67342	0.67342	0.97144	1.02489	0.90073	0.10891	0.91490
348	0.51536	0.49681	0.67912	0.67912	0.98611	1.01177	0.89908	0.23762	0.90648
348	0.50792	0.49511	0.68588	0.68588	0.97829	1.01778	0.89986	0.17822	0.90862
348	0.51472	0.52217	0.67270	0.67270	1.09482	0.91673	0.89987	0.24752	0.90777
348	0.51019	0.49178	0.67081	0.67081	0.96492	1.03097	0.89984	0.05941	0.91780
348	0.50159	0.49196	0.68076	0.68076	0.96479	1.02958	0.89933	0.11881	0.91250
348	0.52034	0.51873	0.67669	0.67669	1.08101	0.93029	0.89957	0.19802	0.90929
348	0.53757	0.50714	0.67687	0.67687	1.03093	0.97345	0.90017	0.22772	0.90742
