number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
351	0.49977	0.00200	0.58674	1.00000	0.57100	0.55694	-8.95200	1685	1491	35	49
351	0.49834	0.00399	0.54261	1.00000	0.53587	0.52431	-8.93091	1629	1547	39	45
351	0.50045	0.00200	0.55443	1.00000	0.52770	0.52743	-8.99413	1611	1565	38	46
351	0.49806	0.00399	0.55261	1.00000	0.56162	0.54006	-9.03524	1540	1636	34	50
351	0.49910	0.03992	0.52788	1.00000	0.54372	0.53625	-8.96566	1667	1509	38	46
351	0.50057	0.08782	0.52219	1.00000	0.54592	0.52560	-8.93146	1675	1501	40	44
351	0.50049	0.00200	0.56356	1.00000	0.55255	0.55124	-8.97308	1611	1565	34	50
351	0.50030	0.00599	0.54215	1.00000	0.57167	0.54141	-8.97062	1662	1514	37	47
351	0.49999	0.00200	0.56569	1.00000	0.56641	0.56046	-8.80817	1783	1393	37	47
351	0.50111	0.00200	0.56722	1.00000	0.57381	0.55218	-8.98142	1617	1559	34	50
351	0.49985	0.43713	0.50195	1.00000	0.51416	0.48680	-9.00507	1731	1445	48	36
351	0.50095	0.00200	0.56615	1.00000	0.57607	0.57949	-8.93319	1677	1499	31	53
351	0.49879	0.00599	0.54907	1.00000	0.54458	0.52506	-9.07218	1785	1391	43	41
351	0.50002	0.00200	0.58122	1.00000	0.57970	0.57883	-8.95640	1635	1541	30	54
351	0.50148	0.00798	0.54398	1.00000	0.55276	0.54107	-8.97111	1622	1554	36	48
351	0.50170	0.00200	0.55850	1.00000	0.56218	0.51524	-8.92325	1647	1529	41	43
351	0.49978	0.38922	0.50346	1.00000	0.52520	0.49950	-9.07095	1547	1629	41	43
351	0.49920	0.03593	0.52785	1.00000	0.53816	0.52088	-8.96348	1645	1531	40	44
351	0.49990	0.20758	0.51433	1.00000	0.51891	0.51786	-9.01210	1588	1588	39	45
351	0.49921	0.00200	0.56135	1.00000	0.56290	0.54371	-8.90442	1790	1386	40	44
