number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
209	0.49984	0.01996	0.53537	1.00000	0.53254	0.53530	-8.94325	1661	1515	38	46
209	0.49901	0.04192	0.52830	1.00000	0.53336	0.52916	-9.01658	1622	1554	38	46
209	0.50033	0.06986	0.52669	1.00000	0.48984	0.49265	-8.76487	1806	1370	49	35
209	0.49913	0.95210	0.47286	1.00000	0.49130	0.49272	-8.92121	1693	1483	46	38
209	0.49984	0.77246	0.48861	1.00000	0.48857	0.48028	-8.95907	1614	1562	46	38
209	0.49989	0.13772	0.51806	1.00000	0.52471	0.52831	-8.86360	1730	1446	41	43
209	0.50113	0.94212	0.47417	1.00000	0.52142	0.52772	-9.01886	1575	1601	37	47
209	0.49998	0.00399	0.54711	1.00000	0.54895	0.54278	-8.99085	1406	1770	30	54
209	0.49993	0.58683	0.49635	1.00000	0.50791	0.49950	-9.01672	1547	1629	41	43
209	0.49937	0.60479	0.49457	1.00000	0.49314	0.49291	-9.01803	1732	1444	47	37
209	0.49967	0.15569	0.51553	1.00000	0.56968	0.56044	-9.00374	1556	1620	31	53
209	0.49977	0.29741	0.50835	1.00000	0.52455	0.50097	-8.98167	1632	1544	43	41
209	0.50065	0.49900	0.49971	1.00000	0.51830	0.51202	-8.85051	1740	1436	44	40
209	0.49974	0.00200	0.55332	1.00000	0.53028	0.53408	-9.04014	1502	1674	34	50
209	0.49906	0.29142	0.50808	1.00000	0.48542	0.47852	-9.04773	1565	1611	45	39
209	0.49917	0.21956	0.51186	1.00000	0.51349	0.52093	-8.81180	1910	1266	47	37
209	0.50078	0.00200	0.60304	1.00000	0.55068	0.54748	-8.78317	1814	1362	40	44
209	0.49946	0.47705	0.50003	1.00000	0.51663	0.52224	-9.04884	1578	1598	38	46
209	0.50038	0.23353	0.51176	1.00000	0.50685	0.52481	-8.90678	1670	1506	40	44
209	0.49992	0.82236	0.48623	1.00000	0.49065	0.48671	-8.98226	1617	1559	45	39
