number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
171	0.49985	0.02196	0.53451	1.00000	0.53441	0.50517	-9.08601	1583	1593	41	43
171	0.50018	0.24551	0.51160	1.00000	0.51298	0.48091	-8.97656	1618	1558	46	38
171	0.50044	0.99800	0.44391	0.00000	0.43368	0.53666	-8.98368	1594	1582	36	48
171	0.50059	0.00200	0.56273	1.00000	0.56368	0.55055	-9.09013	1531	1645	32	52
171	0.50052	0.70659	0.49308	0.00000	0.47319	0.54991	-9.07887	1716	1460	37	47
171	0.50115	0.00998	0.53847	1.00000	0.53753	0.53200	-8.99059	1640	1536	38	46
171	0.50003	0.00200	0.54345	0.00000	0.49580	0.54576	-8.96125	1614	1562	35	49
171	0.49892	0.01397	0.53507	1.00000	0.53442	0.54964	-9.06303	1563	1613	33	51
171	0.49939	0.21756	0.51151	1.00000	0.51855	0.52038	-8.97281	1604	1572	39	45
171	0.50017	0.93413	0.47511	0.00000	0.48103	0.53414	-8.96042	1578	1598	36	48
171	0.49954	0.05589	0.52694	1.00000	0.56977	0.56645	-8.93406	1632	1544	32	52
171	0.49944	0.02794	0.52931	1.00000	0.52950	0.53949	-9.09472	1612	1564	36	48
171	0.50091	0.32335	0.50824	0.50000	0.50000	0.50378	-8.95899	1612	1564	42	42
171	0.50091	0.02794	0.53390	1.00000	0.53264	0.49877	-8.95768	1618	1558	43	41
171	0.50012	0.50898	0.50000	1.00000	0.57104	0.54374	-8.92620	1639	1537	36	48
171	0.49971	0.00200	0.54654	1.00000	0.54930	0.50438	-8.94786	1578	1598	41	43
171	0.49869	0.00399	0.54963	0.00000	0.46684	0.52261	-8.98731	1656	1520	40	44
171	0.50048	0.00200	0.55320	1.00000	0.55309	0.52526	-8.97022	1635	1541	39	45
171	0.49983	0.95808	0.47075	0.50000	0.50000	0.54028	-8.95899	1617	1559	36	48
171	0.49990	0.00200	0.54179	1.00000	0.54236	0.52822	-9.00870	1616	1560	38	46
