	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	258	0.49975	0.35644	0.57875	0.51521	0.57875	0.55017	-8.33923	1642	1533	35	48
1	258	0.49975	0.35644	0.57808	0.51521	0.57808	0.55017	-8.33923	1642	1533	35	48
2	258	0.49975	0.35644	0.5	0.51521	0.5	0.55017	-8.33923	1642	1533	35	48
3	258	0.49975	0.35644	0.4345	0.51521	0.4345	0.55017	-8.33923	1642	1533	35	48
4	258	0.49975	0.35644	0.57771	0.51521	0.57771	0.55017	-8.33923	1642	1533	35	48
5	258	0.49975	0.35644	0.49953	0.51521	0.49953	0.55017	-8.33923	1642	1533	35	48
6	258	0.49975	0.35644	0.57595	0.51521	0.57595	0.55017	-8.33923	1642	1533	35	48
7	258	0.49975	0.35644	0.57587	0.51521	0.57587	0.55017	-8.33923	1642	1533	35	48
8	258	0.49975	0.35644	0.57178	0.51521	0.57178	0.55017	-8.33923	1642	1533	35	48
9	258	0.49975	0.35644	0.42191	0.51521	0.42191	0.55017	-8.33923	1642	1533	35	48
