number	auc_prob	auc_pred	fbeta	f1	plr	nlr	perm_score	pval_score	train_score
258	0.57875	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.57808	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.50000	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.43450	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.57771	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.49953	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.57595	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.57587	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.57178	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
258	0.42191	0.55017	0.66077	0.66077	1.20774	0.80593	0.49975	0.35644	0.51521
