number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
56	0.49987	0.01397	0.53307	1.00000	0.53306	0.50003	-8.96588	1626	1550	43	41
56	0.50065	0.03593	0.53266	1.00000	0.52948	0.52667	-9.00654	1644	1532	39	45
56	0.49941	0.00998	0.54333	1.00000	0.54038	0.50750	-9.06116	1560	1616	40	44
56	0.49941	0.34731	0.50618	1.00000	0.50567	0.48882	-9.29964	1517	1659	42	42
56	0.49948	0.78443	0.48636	0.00000	0.48781	0.51008	-9.04942	1652	1524	42	42
56	0.49950	0.47904	0.50042	0.00000	0.50033	0.47423	-8.98596	1689	1487	49	35
56	0.50028	0.28543	0.50942	1.00000	0.51314	0.52535	-9.14061	1560	1616	37	47
56	0.50150	0.07186	0.52677	0.00003	0.49345	0.50768	-8.96266	1599	1577	41	43
56	0.50061	0.00399	0.54880	1.00000	0.54219	0.51754	-9.02972	1586	1590	39	45
56	0.50062	0.51297	0.50000	1.00000	0.44419	0.46174	-9.23705	1534	1642	47	37
56	0.49981	0.38922	0.50439	1.00000	0.50453	0.50233	-9.04628	1565	1611	41	43
56	0.50087	0.57884	0.49805	1.00000	0.49893	0.49591	-9.04342	1562	1614	42	42
56	0.49967	0.02395	0.52974	0.99999	0.50242	0.51026	-8.95539	1691	1485	43	41
56	0.49977	0.00998	0.53730	1.00000	0.53683	0.53398	-9.06045	1577	1599	36	48
56	0.49919	1.00000	0.44489	1.00000	0.55592	0.55127	-8.92583	1649	1527	35	49
56	0.49968	0.00998	0.53711	1.00000	0.53815	0.53521	-9.03012	1547	1629	35	49
56	0.50050	0.00200	0.54553	1.00000	0.54631	0.53354	-8.99319	1612	1564	37	47
56	0.50022	0.00200	0.55298	1.00000	0.55532	0.56044	-8.96179	1556	1620	31	53
56	0.49945	0.16367	0.51532	1.00000	0.51527	0.52195	-9.06634	1614	1562	39	45
56	0.50169	0.00200	0.55184	1.00000	0.55364	0.53634	-9.11400	1592	1584	36	48
