	number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
0	230	0.50184	0.48515	0.51753	0.50679	0.51753	0.50567	-8.3452	1624	1551	42	41
1	230	0.50184	0.48515	0.49854	0.50679	0.49854	0.50567	-8.3452	1624	1551	42	41
2	230	0.50184	0.48515	0.52635	0.50679	0.52635	0.50567	-8.3452	1624	1551	42	41
3	230	0.50184	0.48515	0.53029	0.50679	0.53029	0.50567	-8.3452	1624	1551	42	41
4	230	0.50184	0.48515	0.52365	0.50679	0.52365	0.50567	-8.3452	1624	1551	42	41
5	230	0.50184	0.48515	0.51275	0.50679	0.51275	0.50567	-8.3452	1624	1551	42	41
6	230	0.50184	0.48515	0.48755	0.50679	0.48755	0.50567	-8.3452	1624	1551	42	41
7	230	0.50184	0.48515	0.5245	0.50679	0.5245	0.50567	-8.3452	1624	1551	42	41
8	230	0.50184	0.48515	0.4716	0.50679	0.4716	0.50567	-8.3452	1624	1551	42	41
9	230	0.50184	0.48515	0.52641	0.50679	0.52641	0.50567	-8.3452	1624	1551	42	41
