number	test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp
381	0.50184	0.00200	0.55719	1.00000	0.55912	0.53811	-8.98210	1641	1535	37	47
381	0.49889	0.15768	0.51463	1.00000	0.51459	0.50447	-8.87097	1692	1484	44	40
381	0.49946	0.00200	0.55489	1.00000	0.55514	0.55766	-9.03199	1614	1562	33	51
381	0.50035	0.00200	0.55168	1.00000	0.55185	0.55099	-8.93694	1685	1491	36	48
381	0.50014	0.47505	0.50216	1.00000	0.50015	0.48878	-8.91310	1668	1508	46	38
381	0.49978	0.00200	0.56532	1.00000	0.56491	0.53543	-8.93672	1624	1552	37	47
381	0.50143	0.00200	0.55602	1.00000	0.55534	0.53017	-8.93933	1704	1472	40	44
381	0.50012	0.00200	0.56114	1.00000	0.56241	0.57508	-8.91750	1649	1527	31	53
381	0.50039	0.97006	0.47056	0.00000	0.46945	0.52718	-9.00140	1685	1491	40	44
381	0.49917	0.00200	0.54385	1.00000	0.54276	0.52856	-8.91991	1656	1520	39	45
381	0.49970	0.99002	0.45580	1.00000	0.55405	0.51228	-8.94350	1666	1510	42	42
381	0.49931	0.94012	0.47445	1.00000	0.47386	0.48403	-8.97953	1600	1576	45	39
381	0.50092	0.00200	0.58120	1.00000	0.58074	0.53996	-9.26231	1615	1561	36	48
381	0.50056	0.00399	0.54317	1.00000	0.54169	0.53924	-8.92527	1686	1490	38	46
381	0.50152	0.00798	0.54320	1.00000	0.54080	0.51625	-8.88125	1729	1447	43	41
381	0.49996	0.00200	0.56853	1.00000	0.56928	0.56588	-8.88583	1704	1472	34	50
381	0.49969	0.00200	0.57554	1.00000	0.57588	0.56362	-8.95245	1614	1562	32	52
381	0.49980	0.53493	0.49827	1.00000	0.55387	0.54894	-8.92050	1672	1504	36	48
381	0.50024	0.00399	0.55122	1.00000	0.54924	0.52960	-8.95137	1587	1589	37	47
381	0.49999	0.01198	0.54255	1.00000	0.54268	0.52346	-8.86972	1737	1439	42	42
